mercredi 25 mars 2020	17:52:18	Sampling Period : 50  ms		CL

t	Alpha [deg]	Position [cm]	X [pixel]	Y [pixel]	  	  	  	  
0	0.000000E+0	-124.046224E-3	927.041975E+0	78.479145E+0
1	0.000000E+0	-124.046224E-3	927.041975E+0	78.479145E+0
2	0.000000E+0	-124.046224E-3	927.041975E+0	78.479145E+0
3	0.000000E+0	-124.046224E-3	927.041975E+0	78.479145E+0
4	0.000000E+0	-127.228928E-3	926.966079E+0	78.917697E+0
5	0.000000E+0	-127.228928E-3	926.966079E+0	78.917697E+0
6	0.000000E+0	-127.228928E-3	926.966079E+0	78.917697E+0
7	0.000000E+0	-127.228928E-3	926.966079E+0	78.917697E+0
8	0.000000E+0	-129.364097E-3	926.915164E+0	79.194818E+0
9	0.000000E+0	-129.364097E-3	926.915164E+0	79.194818E+0
10	0.000000E+0	-129.364097E-3	926.915164E+0	79.194818E+0
11	0.000000E+0	-129.364097E-3	926.915164E+0	79.194818E+0
12	0.000000E+0	-128.316146E-3	926.940153E+0	79.597187E+0
13	0.000000E+0	-128.316146E-3	926.940153E+0	79.597187E+0
14	0.000000E+0	-128.316146E-3	926.940153E+0	79.597187E+0
15	0.000000E+0	-128.316146E-3	926.940153E+0	79.597187E+0
16	0.000000E+0	-139.713133E-3	926.668379E+0	79.188800E+0
17	0.000000E+0	-139.713133E-3	926.668379E+0	79.188800E+0
18	-280.823425E-3	-139.713133E-3	926.668379E+0	79.188800E+0
19	-2.802725E+0	-150.615361E-3	926.408403E+0	79.162839E+0
20	-5.297760E+0	-150.615361E-3	926.408403E+0	79.162839E+0
21	-7.749197E+0	-150.615361E-3	926.408403E+0	79.162839E+0
22	-10.076368E+0	-150.615361E-3	926.408403E+0	79.162839E+0
23	-12.266718E+0	-150.615361E-3	926.408403E+0	79.162839E+0
24	-14.289323E+0	-112.672148E-3	927.313203E+0	78.744575E+0
25	-16.117423E+0	-112.672148E-3	927.313203E+0	78.744575E+0
26	-17.652808E+0	-112.672148E-3	927.313203E+0	78.744575E+0
27	-19.031027E+0	-112.672148E-3	927.313203E+0	78.744575E+0
28	-20.165331E+0	178.404827E-3	934.254269E+0	79.746798E+0
29	-21.050855E+0	178.404827E-3	934.254269E+0	79.746798E+0
30	-21.103716E+0	178.404827E-3	934.254269E+0	79.746798E+0
31	-21.498439E+0	178.404827E-3	934.254269E+0	79.746798E+0
32	-21.665963E+0	1.129696E+0	956.938917E+0	76.523217E+0
33	-21.624931E+0	1.129696E+0	956.938917E+0	76.523217E+0
34	-19.486931E+0	1.129696E+0	956.938917E+0	76.523217E+0
35	-19.094764E+0	1.129696E+0	956.938917E+0	76.523217E+0
36	-18.577702E+0	3.167063E+0	1.005522E+3	79.926631E+0
37	-17.970544E+0	3.167063E+0	1.005522E+3	79.926631E+0
38	-13.215044E+0	3.167063E+0	1.005522E+3	79.926631E+0
39	-12.519044E+0	3.167063E+0	1.005522E+3	79.926631E+0
40	-11.846011E+0	5.953332E+0	1.071964E+3	77.885188E+0
41	-11.233376E+0	5.953332E+0	1.071964E+3	77.885188E+0
42	-5.116471E+0	5.953332E+0	1.071964E+3	77.885188E+0
43	-4.701378E+0	5.953332E+0	1.071964E+3	77.885188E+0
44	-4.445283E+0	8.737754E+0	1.138362E+3	77.921199E+0
45	-4.373735E+0	8.737754E+0	1.138362E+3	77.921199E+0
46	1.089208E+0	8.737754E+0	1.138362E+3	77.921199E+0
47	762.605086E-3	8.737754E+0	1.138362E+3	77.921199E+0
48	205.613538E-3	11.180195E+0	1.196605E+3	81.328884E+0
49	-585.481788E-3	11.180195E+0	1.196605E+3	81.328884E+0
50	3.300992E+0	11.180195E+0	1.196605E+3	81.328884E+0
51	2.079242E+0	11.180195E+0	1.196605E+3	81.328884E+0
52	648.372436E-3	13.124649E+0	1.242972E+3	78.939875E+0
53	-971.894041E-3	13.124649E+0	1.242972E+3	78.939875E+0
54	1.151528E+0	13.124649E+0	1.242972E+3	78.939875E+0
55	-749.473055E-3	13.124649E+0	1.242972E+3	78.939875E+0
56	-2.753131E+0	14.938790E+0	1.286233E+3	79.313875E+0
57	-4.823686E+0	14.938790E+0	1.286233E+3	79.313875E+0
58	-3.276926E+0	14.938790E+0	1.286233E+3	79.313875E+0
59	-5.348654E+0	14.938790E+0	1.286233E+3	79.313875E+0
60	-7.371531E+0	16.506779E+0	1.323623E+3	78.720936E+0
61	-9.307305E+0	16.506779E+0	1.323623E+3	78.720936E+0
62	-7.967795E+0	16.506779E+0	1.323623E+3	78.720936E+0
63	-7.967795E+0	16.506779E+0	1.323623E+3	78.720936E+0
64	-11.057752E+0	16.506779E+0	1.323623E+3	78.720936E+0
65	-12.294589E+0	17.837643E+0	1.355359E+3	82.802788E+0
66	-13.295878E+0	17.837643E+0	1.355359E+3	82.802788E+0
67	-11.370568E+0	17.837643E+0	1.355359E+3	82.802788E+0
68	-11.845180E+0	19.089176E+0	1.385203E+3	83.369719E+0
69	-12.053743E+0	19.089176E+0	1.385203E+3	83.369719E+0
70	-9.482534E+0	19.089176E+0	1.385203E+3	83.369719E+0
71	-9.158148E+0	19.089176E+0	1.385203E+3	83.369719E+0
72	-8.591306E+0	20.660135E+0	1.422665E+3	83.446926E+0
73	-7.801325E+0	20.660135E+0	1.422665E+3	83.446926E+0
74	-3.654947E+0	20.660135E+0	1.422665E+3	83.446926E+0
75	-2.480527E+0	20.660135E+0	1.422665E+3	83.446926E+0
76	-1.168688E+0	22.771077E+0	1.473003E+3	81.545519E+0
77	245.088744E-3	22.771077E+0	1.473003E+3	81.545519E+0
78	5.966266E+0	22.771077E+0	1.473003E+3	81.545519E+0
79	7.491294E+0	22.771077E+0	1.473003E+3	81.545519E+0
80	9.003201E+0	25.213329E+0	1.531241E+3	78.625781E+0
81	10.463908E+0	25.213329E+0	1.531241E+3	78.625781E+0
82	16.745964E+0	25.213329E+0	1.531241E+3	78.625781E+0
83	18.022157E+0	25.213329E+0	1.531241E+3	78.625781E+0
84	19.146662E+0	27.596536E+0	1.588071E+3	79.144743E+0
85	20.093302E+0	27.596536E+0	1.588071E+3	79.144743E+0
86	25.630970E+0	27.596536E+0	1.588071E+3	79.144743E+0
87	26.186983E+0	27.596536E+0	1.588071E+3	79.144743E+0
88	26.517487E+0	29.053578E+0	1.622816E+3	80.458946E+0
89	26.618102E+0	29.053578E+0	1.622816E+3	80.458946E+0
90	29.086083E+0	29.053578E+0	1.622816E+3	80.458946E+0
91	29.086083E+0	29.313457E+0	1.629013E+3	75.663889E+0
92	28.546155E+0	29.313457E+0	1.629013E+3	75.663889E+0
93	28.340939E+0	29.313457E+0	1.629013E+3	75.663889E+0
94	27.452430E+0	29.313457E+0	1.629013E+3	75.663889E+0
95	26.428870E+0	29.313457E+0	1.629013E+3	75.663889E+0
96	25.302441E+0	28.867988E+0	1.618390E+3	78.361643E+0
97	24.108220E+0	28.867988E+0	1.618390E+3	78.361643E+0
98	21.987897E+0	28.867988E+0	1.618390E+3	78.361643E+0
99	20.765984E+0	28.867988E+0	1.618390E+3	78.361643E+0
100	19.589865E+0	26.901584E+0	1.571499E+3	79.142629E+0
101	18.497047E+0	26.901584E+0	1.571499E+3	79.142629E+0
102	13.570811E+0	26.901584E+0	1.571499E+3	79.142629E+0
103	12.729547E+0	26.901584E+0	1.571499E+3	79.142629E+0
104	12.070103E+0	24.309480E+0	1.509688E+3	77.952370E+0
105	11.617911E+0	24.309480E+0	1.509688E+3	77.952370E+0
106	6.183425E+0	24.309480E+0	1.509688E+3	77.952370E+0
107	6.176197E+0	24.309480E+0	1.509688E+3	77.952370E+0
108	6.421477E+0	21.872450E+0	1.451574E+3	81.089972E+0
109	6.922724E+0	21.872450E+0	1.451574E+3	81.089972E+0
110	2.778855E+0	21.872450E+0	1.451574E+3	81.089972E+0
111	3.753672E+0	21.872450E+0	1.451574E+3	81.089972E+0
112	4.958575E+0	20.267369E+0	1.413299E+3	81.547343E+0
113	6.373515E+0	20.267369E+0	1.413299E+3	81.547343E+0
114	4.747223E+0	20.267369E+0	1.413299E+3	81.547343E+0
115	6.486586E+0	20.267369E+0	1.413299E+3	81.547343E+0
116	8.348256E+0	19.269208E+0	1.389496E+3	79.889669E+0
117	10.296143E+0	19.269208E+0	1.389496E+3	79.889669E+0
118	10.285828E+0	19.269208E+0	1.389496E+3	79.889669E+0
119	12.280725E+0	19.269208E+0	1.389496E+3	79.889669E+0
120	14.245149E+0	18.639026E+0	1.374469E+3	79.046081E+0
121	16.140549E+0	18.639026E+0	1.374469E+3	79.046081E+0
122	16.663439E+0	18.639026E+0	1.374469E+3	79.046081E+0
123	18.306673E+0	18.639026E+0	1.374469E+3	79.046081E+0
124	19.779189E+0	18.087444E+0	1.361316E+3	79.892978E+0
125	21.054472E+0	18.087444E+0	1.361316E+3	79.892978E+0
126	21.002193E+0	18.087444E+0	1.361316E+3	79.892978E+0
127	21.817892E+0	18.087444E+0	1.361316E+3	79.892978E+0
128	22.387882E+0	17.227151E+0	1.340801E+3	80.795051E+0
129	22.707582E+0	17.227151E+0	1.340801E+3	80.795051E+0
130	21.049385E+0	17.227151E+0	1.340801E+3	80.795051E+0
131	20.870658E+0	17.227151E+0	1.340801E+3	80.795051E+0
132	20.464234E+0	15.822780E+0	1.307312E+3	78.401176E+0
133	19.849049E+0	15.822780E+0	1.307312E+3	78.401176E+0
134	16.226269E+0	15.822780E+0	1.307312E+3	78.401176E+0
135	15.255770E+0	15.822780E+0	1.307312E+3	78.401176E+0
136	14.160871E+0	14.096172E+0	1.266139E+3	80.201795E+0
137	12.976516E+0	14.096172E+0	1.266139E+3	80.201795E+0
138	8.269195E+0	14.096172E+0	1.266139E+3	80.201795E+0
139	7.000675E+0	14.096172E+0	1.266139E+3	80.201795E+0
140	5.755947E+0	12.354275E+0	1.224602E+3	80.121505E+0
141	4.572413E+0	12.354275E+0	1.224602E+3	80.121505E+0
142	-15.488547E-3	12.354275E+0	1.224602E+3	80.121505E+0
143	-989.724302E-3	12.354275E+0	1.224602E+3	80.121505E+0
144	-1.804535E+0	10.668048E+0	1.184392E+3	81.179039E+0
145	-2.434561E+0	10.668048E+0	1.184392E+3	81.179039E+0
146	-6.248601E+0	10.668048E+0	1.184392E+3	81.179039E+0
147	-6.469725E+0	10.668048E+0	1.184392E+3	81.179039E+0
148	-6.460962E+0	9.652283E+0	1.160170E+3	80.860676E+0
149	-6.218880E+0	9.652283E+0	1.160170E+3	80.860676E+0
150	-7.787787E+0	9.652283E+0	1.160170E+3	80.860676E+0
151	-7.103146E+0	9.652283E+0	1.160170E+3	80.860676E+0
152	-6.210957E+0	9.398231E+0	1.154112E+3	79.849864E+0
