mercredi 25 mars 2020	17:43:22	Sampling Period : 50  ms		CL

t	Alpha [deg]	Position [cm]	X [pixel]	Y [pixel]	  	  	  	  
0	0.000000E+0	-363.551765E-3	921.330689E+0	74.254840E+0
1	0.000000E+0	-363.551765E-3	921.330689E+0	74.254840E+0
2	0.000000E+0	-363.551765E-3	921.330689E+0	74.254840E+0
3	0.000000E+0	-327.744988E-3	922.184543E+0	75.365300E+0
4	0.000000E+0	-327.744988E-3	922.184543E+0	75.365300E+0
5	0.000000E+0	-327.744988E-3	922.184543E+0	75.365300E+0
6	0.000000E+0	-327.744988E-3	922.184543E+0	75.365300E+0
7	0.000000E+0	-372.276808E-3	921.122630E+0	75.638838E+0
8	0.000000E+0	-372.276808E-3	921.122630E+0	75.638838E+0
9	0.000000E+0	-372.276808E-3	921.122630E+0	75.638838E+0
10	0.000000E+0	-372.276808E-3	921.122630E+0	75.638838E+0
11	0.000000E+0	-360.201386E-3	921.410582E+0	75.620160E+0
12	0.000000E+0	-360.201386E-3	921.410582E+0	75.620160E+0
13	-724.005075E-3	-360.201386E-3	921.410582E+0	75.620160E+0
14	-727.607017E-3	-360.201386E-3	921.410582E+0	75.620160E+0
15	-731.208887E-3	-381.086359E-3	920.912556E+0	76.667040E+0
16	-776.789695E-3	-381.086359E-3	920.912556E+0	76.667040E+0
17	-780.600559E-3	-381.086359E-3	920.912556E+0	76.667040E+0
18	-784.411422E-3	-381.086359E-3	920.912556E+0	76.667040E+0
19	-788.222286E-3	-314.699154E-3	922.495636E+0	77.005728E+0
20	-792.033150E-3	-314.699154E-3	922.495636E+0	77.005728E+0
21	-662.405730E-3	-314.699154E-3	922.495636E+0	77.005728E+0
22	-665.552722E-3	-314.699154E-3	922.495636E+0	77.005728E+0
23	-668.699839E-3	-203.981265E-3	925.135831E+0	78.506896E+0
24	-671.847208E-3	-203.981265E-3	925.135831E+0	78.506896E+0
25	-452.450958E-3	-203.981265E-3	925.135831E+0	78.506896E+0
26	-454.490729E-3	-203.981265E-3	925.135831E+0	78.506896E+0
27	-456.530542E-3	97.270406E-3	932.319525E+0	79.307388E+0
28	146.945503E-3	97.270406E-3	932.319525E+0	79.307388E+0
29	147.918207E-3	97.270406E-3	932.319525E+0	79.307388E+0
30	148.890911E-3	97.270406E-3	932.319525E+0	79.307388E+0
31	149.863615E-3	131.647871E-3	933.139295E+0	79.039566E+0
32	150.836319E-3	131.647871E-3	933.139295E+0	79.039566E+0
33	220.907808E-3	131.647871E-3	933.139295E+0	79.039566E+0
34	222.224287E-3	131.647871E-3	933.139295E+0	79.039566E+0
35	223.540686E-3	-100.158199E-3	927.611612E+0	77.677001E+0
36	224.857165E-3	-100.158199E-3	927.611612E+0	77.677001E+0
37	-239.756558E-3	-100.158199E-3	927.611612E+0	77.677001E+0
38	-240.758140E-3	-100.158199E-3	927.611612E+0	77.677001E+0
39	-241.759722E-3	2.393311E-3	930.057071E+0	77.591036E+0
40	-242.761304E-3	2.393311E-3	930.057071E+0	77.591036E+0
41	-37.634350E-3	2.393311E-3	930.057071E+0	77.591036E+0
42	-37.610417E-3	2.393311E-3	930.057071E+0	77.591036E+0
43	-37.586480E-3	211.064853E-3	935.033085E+0	78.322802E+0
44	-37.562549E-3	211.064853E-3	935.033085E+0	78.322802E+0
45	381.891055E-3	211.064853E-3	935.033085E+0	78.322802E+0
46	384.001746E-3	211.064853E-3	935.033085E+0	78.322802E+0
47	386.112353E-3	106.343927E-3	932.535894E+0	77.717873E+0
48	388.223001E-3	106.343927E-3	932.535894E+0	77.717873E+0
49	179.844589E-3	106.343927E-3	932.535894E+0	77.717873E+0
50	180.908029E-3	106.343927E-3	932.535894E+0	77.717873E+0
51	181.971468E-3	155.003601E-3	933.696240E+0	78.045535E+0
52	183.034907E-3	155.003601E-3	933.696240E+0	78.045535E+0
53	281.904353E-3	155.003601E-3	933.696240E+0	78.045535E+0
54	283.454389E-3	155.003601E-3	933.696240E+0	78.045535E+0
55	285.004363E-3	197.977589E-3	934.721004E+0	78.665609E+0
56	286.554399E-3	197.977589E-3	934.721004E+0	78.665609E+0
57	374.482150E-3	197.977589E-3	934.721004E+0	78.665609E+0
58	376.461926E-3	197.977589E-3	934.721004E+0	78.665609E+0
59	378.441702E-3	89.429530E-3	932.132550E+0	78.859060E+0
60	380.421478E-3	89.429530E-3	932.132550E+0	78.859060E+0
61	164.219656E-3	89.429530E-3	932.132550E+0	78.859060E+0
62	165.113951E-3	89.429530E-3	932.132550E+0	78.859060E+0
63	166.008300E-3	163.300351E-3	933.894085E+0	78.910867E+0
64	166.902667E-3	163.300351E-3	933.894085E+0	78.910867E+0
65	316.277083E-3	163.300351E-3	933.894085E+0	78.910867E+0
66	317.910086E-3	163.300351E-3	933.894085E+0	78.910867E+0
67	319.543122E-3	116.545042E-3	932.779151E+0	78.770016E+0
68	321.176093E-3	116.545042E-3	932.779151E+0	78.770016E+0
69	228.830926E-3	116.545042E-3	932.779151E+0	78.770016E+0
70	229.996376E-3	116.545042E-3	932.779151E+0	78.770016E+0
71	231.161827E-3	75.470728E-3	931.799687E+0	79.186210E+0
72	232.327277E-3	75.470728E-3	931.799687E+0	79.186210E+0
73	150.933403E-3	75.470728E-3	931.799687E+0	79.186210E+0
74	151.688111E-3	75.470728E-3	931.799687E+0	79.186210E+0
75	152.442773E-3	84.809245E-3	932.022374E+0	78.977889E+0
76	153.197480E-3	84.809245E-3	932.022374E+0	78.977889E+0
77	172.722606E-3	84.809245E-3	932.022374E+0	78.977889E+0
78	173.570698E-3	84.809245E-3	932.022374E+0	78.977889E+0
79	174.418791E-3	89.044170E-3	932.123361E+0	78.633663E+0
80	175.266883E-3	89.044170E-3	932.123361E+0	78.633663E+0
81	184.627175E-3	89.044170E-3	932.123361E+0	78.633663E+0
82	185.517617E-3	89.044170E-3	932.123361E+0	78.633663E+0
83	186.408183E-3	73.127738E-3	931.743815E+0	77.987631E+0
84	187.298554E-3	73.127738E-3	931.743815E+0	77.987631E+0
85	156.196922E-3	73.127738E-3	931.743815E+0	77.987631E+0
86	156.928214E-3	73.127738E-3	931.743815E+0	77.987631E+0
87	157.659477E-3	66.866001E-3	931.594497E+0	77.415787E+0
88	158.390754E-3	66.866001E-3	931.594497E+0	77.415787E+0
89	146.535940E-3	66.866001E-3	931.594497E+0	77.415787E+0
90	147.204600E-3	66.866001E-3	931.594497E+0	77.415787E+0
91	147.873260E-3	99.267511E-3	932.367148E+0	77.092303E+0
92	148.541920E-3	99.267511E-3	932.367148E+0	77.092303E+0
93	214.337655E-3	99.267511E-3	932.367148E+0	77.092303E+0
94	215.330350E-3	99.267511E-3	932.367148E+0	77.092303E+0
95	216.322985E-3	125.102587E-3	932.983216E+0	77.782686E+0
96	217.315641E-3	125.102587E-3	932.983216E+0	77.782686E+0
97	270.236820E-3	125.102587E-3	932.983216E+0	77.782686E+0
98	271.487871E-3	125.102587E-3	932.983216E+0	77.782686E+0
99	272.738872E-3	131.489700E-3	933.135524E+0	76.992666E+0
100	286.827994E-3	131.489700E-3	933.135524E+0	76.992666E+0
101	288.142917E-3	131.489700E-3	933.135524E+0	76.992666E+0
102	289.457814E-3	131.489700E-3	933.135524E+0	76.992666E+0
103	290.772737E-3	131.489700E-3	933.135524E+0	76.992666E+0
104	292.087766E-3	120.147044E-3	932.865045E+0	76.966696E+0
105	270.603756E-3	120.147044E-3	932.865045E+0	76.966696E+0
106	271.805226E-3	120.147044E-3	932.865045E+0	76.966696E+0
107	273.006696E-3	127.518104E-3	933.040816E+0	77.537881E+0
108	274.208167E-3	127.518104E-3	933.040816E+0	77.537881E+0
109	290.225468E-3	127.518104E-3	933.040816E+0	77.537881E+0
110	291.500650E-3	127.518104E-3	933.040816E+0	77.537881E+0
111	292.775831E-3	127.518104E-3	933.040816E+0	77.537881E+0
112	294.051037E-3	104.495351E-3	932.491812E+0	78.094705E+0
113	295.326244E-3	104.495351E-3	932.491812E+0	78.094705E+0
114	250.325713E-3	104.495351E-3	932.491812E+0	78.094705E+0
115	251.370604E-3	110.797843E-3	932.642102E+0	78.127879E+0
116	265.083565E-3	110.797843E-3	932.642102E+0	78.127879E+0
117	266.191544E-3	110.797843E-3	932.642102E+0	78.127879E+0
118	267.299544E-3	110.797843E-3	932.642102E+0	78.127879E+0
119	268.407501E-3	110.797843E-3	932.642102E+0	78.127879E+0
120	269.515479E-3	97.355637E-3	932.321558E+0	78.716606E+0
121	270.623458E-3	97.355637E-3	932.321558E+0	78.716606E+0
122	244.712602E-3	97.355637E-3	932.321558E+0	78.716606E+0
123	245.686314E-3	97.937724E-3	932.335438E+0	78.760326E+0
124	247.829768E-3	97.937724E-3	932.335438E+0	78.760326E+0
125	248.809086E-3	97.937724E-3	932.335438E+0	78.760326E+0
126	249.788464E-3	97.937724E-3	932.335438E+0	78.760326E+0
127	250.767841E-3	97.937724E-3	932.335438E+0	78.760326E+0
128	251.747218E-3	73.849620E-3	931.761029E+0	78.803571E+0
129	204.309507E-3	73.849620E-3	931.761029E+0	78.803571E+0
130	205.048003E-3	73.849620E-3	931.761029E+0	78.803571E+0
131	205.786499E-3	78.496930E-3	931.871850E+0	78.568901E+0
132	206.524995E-3	78.496930E-3	931.871850E+0	78.568901E+0
133	216.604630E-3	78.496930E-3	931.871850E+0	78.568901E+0
134	217.389584E-3	78.496930E-3	931.871850E+0	78.568901E+0
135	218.174522E-3	78.496930E-3	931.871850E+0	78.568901E+0
136	218.959491E-3	95.762262E-3	932.283562E+0	77.527397E+0
137	219.744461E-3	95.762262E-3	932.283562E+0	77.527397E+0
138	255.232748E-3	95.762262E-3	932.283562E+0	77.527397E+0
139	256.190390E-3	95.762262E-3	932.283562E+0	77.527397E+0
140	257.147994E-3	104.364381E-3	932.488689E+0	77.059745E+0
141	258.105616E-3	104.364381E-3	932.488689E+0	77.059745E+0
142	276.353498E-3	104.364381E-3	932.488689E+0	77.059745E+0
143	277.397183E-3	104.364381E-3	932.488689E+0	77.059745E+0
144	278.440953E-3	137.198820E-3	933.271664E+0	76.605997E+0
145	279.484429E-3	137.198820E-3	933.271664E+0	76.605997E+0
146	346.525295E-3	137.198820E-3	933.271664E+0	76.605997E+0
147	347.897283E-3	137.198820E-3	933.271664E+0	76.605997E+0
148	349.269271E-3	112.371163E-3	932.679620E+0	76.891767E+0
149	300.737668E-3	112.371163E-3	932.679620E+0	76.891767E+0
150	301.861380E-3	112.371163E-3	932.679620E+0	76.891767E+0
151	302.985092E-3	112.371163E-3	932.679620E+0	76.891767E+0
152	304.108803E-3	126.317712E-3	933.012192E+0	77.002612E+0
153	305.232560E-3	126.317712E-3	933.012192E+0	77.002612E+0
