mercredi 25 mars 2020	17:11:59	Sampling Period : 50  ms		CL

t	Alpha [deg]	Position [cm]	X [pixel]	Y [pixel]	  	  	  	  
0	0.000000E+0	327.304657E-3	937.804957E+0	77.425789E+0
1	0.000000E+0	327.304657E-3	937.804957E+0	77.425789E+0
2	0.000000E+0	327.304657E-3	937.804957E+0	77.425789E+0
3	0.000000E+0	350.950331E-3	938.368816E+0	77.344528E+0
4	0.000000E+0	350.950331E-3	938.368816E+0	77.344528E+0
5	0.000000E+0	350.950331E-3	938.368816E+0	77.344528E+0
6	0.000000E+0	350.950331E-3	938.368816E+0	77.344528E+0
7	0.000000E+0	359.589099E-3	938.574817E+0	77.269693E+0
8	0.000000E+0	359.589099E-3	938.574817E+0	77.269693E+0
9	0.000000E+0	359.589099E-3	938.574817E+0	77.269693E+0
10	0.000000E+0	359.589099E-3	938.574817E+0	77.269693E+0
11	0.000000E+0	362.411498E-3	938.642120E+0	77.797135E+0
12	0.000000E+0	362.411498E-3	938.642120E+0	77.797135E+0
13	728.447329E-3	362.411498E-3	938.642120E+0	77.797135E+0
14	732.071444E-3	362.411498E-3	938.642120E+0	77.797135E+0
15	735.695704E-3	363.117247E-3	938.658950E+0	77.860248E+0
16	740.738229E-3	363.117247E-3	938.658950E+0	77.860248E+0
17	744.369329E-3	363.117247E-3	938.658950E+0	77.860248E+0
18	748.001010E-3	363.117247E-3	938.658950E+0	77.860248E+0
19	751.631674E-3	397.123844E-3	939.469876E+0	78.219742E+0
20	823.616106E-3	397.123844E-3	939.469876E+0	78.219742E+0
21	827.587344E-3	397.123844E-3	939.469876E+0	78.219742E+0
22	831.558582E-3	397.123844E-3	939.469876E+0	78.219742E+0
23	835.529821E-3	442.070355E-3	940.541678E+0	76.799947E+0
24	839.501536E-3	442.070355E-3	940.541678E+0	76.799947E+0
25	933.814908E-3	442.070355E-3	940.541678E+0	76.799947E+0
26	938.235611E-3	442.070355E-3	940.541678E+0	76.799947E+0
27	942.656138E-3	434.652676E-3	940.364795E+0	77.500000E+0
28	932.167395E-3	434.652676E-3	940.364795E+0	77.500000E+0
29	936.513748E-3	434.652676E-3	940.364795E+0	77.500000E+0
30	940.860361E-3	434.652676E-3	940.364795E+0	77.500000E+0
31	945.206801E-3	420.982871E-3	940.038822E+0	77.162585E+0
32	922.077103E-3	420.982871E-3	940.038822E+0	77.162585E+0
33	926.287016E-3	420.982871E-3	940.038822E+0	77.162585E+0
34	930.496760E-3	420.982871E-3	940.038822E+0	77.162585E+0
35	934.706673E-3	420.982871E-3	940.038822E+0	77.162585E+0
36	938.916670E-3	421.192867E-3	940.043830E+0	77.527785E+0
37	943.126162E-3	421.192867E-3	940.043830E+0	77.527785E+0
38	947.758167E-3	421.192867E-3	940.043830E+0	77.527785E+0
39	951.970096E-3	407.920919E-3	939.727345E+0	76.843137E+0
40	929.505491E-3	407.920919E-3	939.727345E+0	76.843137E+0
41	933.584619E-3	407.920919E-3	939.727345E+0	76.843137E+0
42	937.663828E-3	407.920919E-3	939.727345E+0	76.843137E+0
43	941.743527E-3	423.152727E-3	940.090565E+0	77.036226E+0
44	945.822246E-3	423.152727E-3	940.090565E+0	77.036226E+0
45	980.517558E-3	423.152727E-3	940.090565E+0	77.036226E+0
46	984.749170E-3	423.152727E-3	940.090565E+0	77.036226E+0
47	988.980358E-3	430.751099E-3	940.271757E+0	76.077449E+0
48	993.211886E-3	430.751099E-3	940.271757E+0	76.077449E+0
49	1.012716E+0	430.751099E-3	940.271757E+0	76.077449E+0
50	1.017024E+0	430.751099E-3	940.271757E+0	76.077449E+0
51	1.021331E+0	432.033008E-3	940.302326E+0	76.447464E+0
52	1.025639E+0	432.033008E-3	940.302326E+0	76.447464E+0
53	1.032523E+0	432.033008E-3	940.302326E+0	76.447464E+0
54	1.036843E+0	432.033008E-3	940.302326E+0	76.447464E+0
55	1.041164E+0	442.750545E-3	940.557898E+0	76.269915E+0
56	1.045484E+0	442.750545E-3	940.557898E+0	76.269915E+0
57	1.071346E+0	442.750545E-3	940.557898E+0	76.269915E+0
58	1.075774E+0	442.750545E-3	940.557898E+0	76.269915E+0
59	1.080201E+0	429.978495E-3	940.253333E+0	76.742313E+0
60	1.084629E+0	429.978495E-3	940.253333E+0	76.742313E+0
61	1.063385E+0	429.978495E-3	940.253333E+0	76.742313E+0
62	1.067685E+0	429.978495E-3	940.253333E+0	76.742313E+0
63	1.071984E+0	445.048027E-3	940.612684E+0	76.799673E+0
64	1.076285E+0	445.048027E-3	940.612684E+0	76.799673E+0
65	1.110874E+0	445.048027E-3	940.612684E+0	76.799673E+0
66	1.115324E+0	445.048027E-3	940.612684E+0	76.799673E+0
67	1.119775E+0	439.859606E-3	940.488960E+0	76.600160E+0
68	1.124225E+0	439.859606E-3	940.488960E+0	76.600160E+0
69	1.118247E+0	439.859606E-3	940.488960E+0	76.600160E+0
70	1.122645E+0	439.859606E-3	940.488960E+0	76.600160E+0
71	1.127044E+0	429.952371E-3	940.252710E+0	77.299948E+0
72	1.131442E+0	429.952371E-3	940.252710E+0	77.299948E+0
73	1.115928E+0	429.952371E-3	940.252710E+0	77.299948E+0
74	1.120227E+0	429.952371E-3	940.252710E+0	77.299948E+0
75	1.124527E+0	430.020073E-3	940.254325E+0	77.252517E+0
76	1.128826E+0	430.020073E-3	940.254325E+0	77.252517E+0
77	1.133262E+0	430.020073E-3	940.254325E+0	77.252517E+0
78	1.137562E+0	430.020073E-3	940.254325E+0	77.252517E+0
79	1.141862E+0	430.020073E-3	940.254325E+0	77.252517E+0
80	1.146163E+0	422.314991E-3	940.070588E+0	77.346928E+0
81	1.150463E+0	422.314991E-3	940.070588E+0	77.346928E+0
82	1.139275E+0	422.314991E-3	940.070588E+0	77.346928E+0
83	1.143499E+0	426.892473E-3	940.179744E+0	77.236667E+0
84	1.147722E+0	426.892473E-3	940.179744E+0	77.236667E+0
85	1.161146E+0	426.892473E-3	940.179744E+0	77.236667E+0
86	1.165415E+0	426.892473E-3	940.179744E+0	77.236667E+0
87	1.169684E+0	426.892473E-3	940.179744E+0	77.236667E+0
88	1.173953E+0	416.768706E-3	939.938331E+0	77.136098E+0
89	1.178221E+0	416.768706E-3	939.938331E+0	77.136098E+0
90	1.162142E+0	416.768706E-3	939.938331E+0	77.136098E+0
91	1.166309E+0	437.732213E-3	940.438230E+0	76.485745E+0
92	1.170477E+0	437.732213E-3	940.438230E+0	76.485745E+0
93	1.216781E+0	437.732213E-3	940.438230E+0	76.485745E+0
94	1.221159E+0	437.732213E-3	940.438230E+0	76.485745E+0
95	1.225536E+0	437.732213E-3	940.438230E+0	76.485745E+0
96	1.229913E+0	430.983716E-3	940.277304E+0	76.581843E+0
97	1.220726E+0	430.983716E-3	940.277304E+0	76.581843E+0
98	1.225036E+0	430.983716E-3	940.277304E+0	76.581843E+0
99	1.229346E+0	426.932967E-3	940.180709E+0	76.344965E+0
100	1.233656E+0	426.932967E-3	940.180709E+0	76.344965E+0
101	1.229823E+0	426.932967E-3	940.180709E+0	76.344965E+0
102	1.234093E+0	426.932967E-3	940.180709E+0	76.344965E+0
103	1.238362E+0	426.932967E-3	940.180709E+0	76.344965E+0
104	1.242632E+0	441.788195E-3	940.534949E+0	76.518320E+0
105	1.246901E+0	441.788195E-3	940.534949E+0	76.518320E+0
106	1.281029E+0	441.788195E-3	940.534949E+0	76.518320E+0
107	1.285447E+0	441.788195E-3	940.534949E+0	76.518320E+0
108	1.289865E+0	439.132115E-3	940.471612E+0	76.336091E+0
109	1.288944E+0	439.132115E-3	940.471612E+0	76.336091E+0
110	1.297727E+0	439.132115E-3	940.471612E+0	76.336091E+0
111	1.297727E+0	439.132115E-3	940.471612E+0	76.336091E+0
112	1.302118E+0	438.932584E-3	940.466854E+0	76.550843E+0
113	1.306509E+0	438.932584E-3	940.466854E+0	76.550843E+0
114	1.310500E+0	438.932584E-3	940.466854E+0	76.550843E+0
115	1.314889E+0	438.932584E-3	940.466854E+0	76.550843E+0
116	1.319279E+0	434.395805E-3	940.358669E+0	76.892616E+0
117	1.323668E+0	434.395805E-3	940.358669E+0	76.892616E+0
118	1.318938E+0	434.395805E-3	940.358669E+0	76.892616E+0
119	1.323283E+0	434.757207E-3	940.367287E+0	77.310638E+0
120	1.327626E+0	434.757207E-3	940.367287E+0	77.310638E+0
121	1.332696E+0	434.757207E-3	940.367287E+0	77.310638E+0
122	1.337044E+0	434.757207E-3	940.367287E+0	77.310638E+0
123	1.341392E+0	434.757207E-3	940.367287E+0	77.310638E+0
124	1.345739E+0	440.234109E-3	940.497890E+0	77.559863E+0
125	1.361095E+0	440.234109E-3	940.497890E+0	77.559863E+0
126	1.365498E+0	440.234109E-3	940.497890E+0	77.559863E+0
127	1.369900E+0	440.234109E-3	940.497890E+0	77.559863E+0
128	1.374302E+0	411.351627E-3	939.809154E+0	77.273822E+0
129	1.320651E+0	411.351627E-3	939.809154E+0	77.273822E+0
130	1.324764E+0	411.351627E-3	939.809154E+0	77.273822E+0
131	1.328878E+0	411.351627E-3	939.809154E+0	77.273822E+0
132	1.332991E+0	411.169268E-3	939.804806E+0	77.305616E+0
133	1.337105E+0	411.169268E-3	939.804806E+0	77.305616E+0
134	1.340852E+0	411.169268E-3	939.804806E+0	77.305616E+0
135	1.344964E+0	411.169268E-3	939.804806E+0	77.305616E+0
136	1.349075E+0	407.304283E-3	939.712641E+0	77.664703E+0
137	1.353187E+0	407.304283E-3	939.712641E+0	77.664703E+0
138	1.349530E+0	407.304283E-3	939.712641E+0	77.664703E+0
139	1.353603E+0	407.304283E-3	939.712641E+0	77.664703E+0
140	1.357676E+0	421.435562E-3	940.049617E+0	76.514602E+0
141	1.361749E+0	421.435562E-3	940.049617E+0	76.514602E+0
142	1.394226E+0	421.435562E-3	940.049617E+0	76.514602E+0
143	1.398440E+0	421.435562E-3	940.049617E+0	76.514602E+0
144	1.402655E+0	424.535175E-3	940.123531E+0	76.638292E+0
145	1.406869E+0	424.535175E-3	940.123531E+0	76.638292E+0
146	1.417314E+0	424.535175E-3	940.123531E+0	76.638292E+0
147	1.421559E+0	439.851189E-3	940.488759E+0	76.935474E+0
148	1.425804E+0	439.851189E-3	940.488759E+0	76.935474E+0
149	1.460835E+0	439.851189E-3	940.488759E+0	76.935474E+0
150	1.465233E+0	439.851189E-3	940.488759E+0	76.935474E+0
151	1.469632E+0	439.851189E-3	940.488759E+0	76.935474E+0
152	1.474030E+0	429.488442E-3	940.241647E+0	76.426843E+0
153	1.478429E+0	429.488442E-3	940.241647E+0	76.426843E+0
154	1.461998E+0	429.488442E-3	940.241647E+0	76.426843E+0
155	1.466293E+0	429.488442E-3	940.241647E+0	76.426843E+0
