mercredi 25 mars 2020	17:29:44	Sampling Period : 50  ms		CL

t	Alpha [deg]	Position [cm]	X [pixel]	Y [pixel]	  	  	  	  
0	0.000000E+0	-3.129778E+0	855.366824E+0	76.517384E+0
1	0.000000E+0	-3.111229E+0	855.809149E+0	76.883450E+0
2	0.000000E+0	-3.111229E+0	855.809149E+0	76.883450E+0
3	0.000000E+0	-3.111229E+0	855.809149E+0	76.883450E+0
4	0.000000E+0	-3.111229E+0	855.809149E+0	76.883450E+0
5	0.000000E+0	-3.124421E+0	855.494567E+0	75.933627E+0
6	0.000000E+0	-3.124421E+0	855.494567E+0	75.933627E+0
7	0.000000E+0	-3.124421E+0	855.494567E+0	75.933627E+0
8	0.000000E+0	-3.124421E+0	855.494567E+0	75.933627E+0
9	0.000000E+0	-3.129754E+0	855.367409E+0	76.145255E+0
10	0.000000E+0	-3.129754E+0	855.367409E+0	76.145255E+0
11	0.000000E+0	-3.129754E+0	855.367409E+0	76.145255E+0
12	0.000000E+0	-3.129754E+0	855.367409E+0	76.145255E+0
13	0.000000E+0	-3.130459E+0	855.350587E+0	76.080349E+0
14	-6.576231E+0	-3.130459E+0	855.350587E+0	76.080349E+0
15	-6.576231E+0	-3.130459E+0	855.350587E+0	76.080349E+0
16	-6.861492E+0	-3.130459E+0	855.350587E+0	76.080349E+0
17	-7.435714E+0	-3.130459E+0	855.350587E+0	76.080349E+0
18	-7.724657E+0	-3.134958E+0	855.243308E+0	75.920583E+0
19	-7.724657E+0	-3.134958E+0	855.243308E+0	75.920583E+0
20	-8.023850E+0	-3.134958E+0	855.243308E+0	75.920583E+0
21	-8.315239E+0	-2.739508E+0	864.673273E+0	77.848610E+0
22	-8.106713E+0	-2.739508E+0	864.673273E+0	77.848610E+0
23	-8.397677E+0	-2.739508E+0	864.673273E+0	77.848610E+0
24	-8.397677E+0	-2.739508E+0	864.673273E+0	77.848610E+0
25	-8.983061E+0	-2.739508E+0	864.673273E+0	77.848610E+0
26	-8.983061E+0	-2.063175E+0	880.801206E+0	77.655127E+0
27	-8.213551E+0	-2.063175E+0	880.801206E+0	77.655127E+0
28	-8.213551E+0	-2.063175E+0	880.801206E+0	77.655127E+0
29	-8.794398E+0	-425.056227E-3	919.864044E+0	81.464641E+0
30	-8.794398E+0	-425.056227E-3	919.864044E+0	81.464641E+0
31	-6.070609E+0	-425.056227E-3	919.864044E+0	81.464641E+0
32	-6.070609E+0	-425.056227E-3	919.864044E+0	81.464641E+0
33	-6.627342E+0	-425.056227E-3	919.864044E+0	81.464641E+0
34	-6.907286E+0	1.457829E+0	964.763626E+0	85.024472E+0
35	-6.907286E+0	1.457829E+0	964.763626E+0	85.024472E+0
36	-3.666847E+0	1.457829E+0	964.763626E+0	85.024472E+0
37	-3.666847E+0	3.487884E+0	1.013173E+3	84.956069E+0
38	-3.931043E+0	3.487884E+0	1.013173E+3	84.956069E+0
39	-115.832734E-3	3.487884E+0	1.013173E+3	84.956069E+0
40	-608.602597E-3	3.487884E+0	1.013173E+3	84.956069E+0
41	-856.450492E-3	3.487884E+0	1.013173E+3	84.956069E+0
42	-1.105259E+0	3.487884E+0	1.013173E+3	84.956069E+0
43	-1.355016E+0	3.487884E+0	1.013173E+3	84.956069E+0
44	-1.605711E+0	3.487884E+0	1.013173E+3	84.956069E+0
45	-1.857333E+0	7.713106E+0	1.113928E+3	79.824581E+0
46	6.382824E+0	7.713106E+0	1.113928E+3	79.824581E+0
47	6.171636E+0	7.713106E+0	1.113928E+3	79.824581E+0
48	6.171636E+0	7.713106E+0	1.113928E+3	79.824581E+0
49	5.746593E+0	9.456907E+0	1.155511E+3	77.055153E+0
50	5.746593E+0	9.456907E+0	1.155511E+3	77.055153E+0
51	9.037803E+0	9.456907E+0	1.155511E+3	77.055153E+0
52	8.642452E+0	9.456907E+0	1.155511E+3	77.055153E+0
53	8.642452E+0	9.456907E+0	1.155511E+3	77.055153E+0
54	8.443518E+0	10.767840E+0	1.186772E+3	77.063755E+0
55	8.243759E+0	10.767840E+0	1.186772E+3	77.063755E+0
56	10.678167E+0	10.767840E+0	1.186772E+3	77.063755E+0
57	10.489912E+0	11.753222E+0	1.210269E+3	78.239507E+0
58	12.091652E+0	11.753222E+0	1.210269E+3	78.239507E+0
59	12.091652E+0	11.753222E+0	1.210269E+3	78.239507E+0
60	11.729427E+0	11.753222E+0	1.210269E+3	78.239507E+0
61	11.729427E+0	11.753222E+0	1.210269E+3	78.239507E+0
62	11.547197E+0	12.463975E+0	1.227218E+3	81.235815E+0
63	12.609171E+0	12.463975E+0	1.227218E+3	81.235815E+0
64	12.609171E+0	12.463975E+0	1.227218E+3	81.235815E+0
65	12.253924E+0	13.119291E+0	1.242845E+3	80.107507E+0
66	12.253924E+0	13.119291E+0	1.242845E+3	80.107507E+0
67	13.219692E+0	13.119291E+0	1.242845E+3	80.107507E+0
68	13.219692E+0	13.119291E+0	1.242845E+3	80.107507E+0
69	12.872196E+0	13.119291E+0	1.242845E+3	80.107507E+0
70	12.697487E+0	13.589822E+0	1.254065E+3	81.727557E+0
71	12.697487E+0	13.589822E+0	1.254065E+3	81.727557E+0
72	13.296692E+0	13.589822E+0	1.254065E+3	81.727557E+0
73	13.296692E+0	13.956952E+0	1.262820E+3	80.826938E+0
74	13.690381E+0	13.956952E+0	1.262820E+3	80.826938E+0
75	13.690381E+0	13.956952E+0	1.262820E+3	80.826938E+0
76	13.521065E+0	13.956952E+0	1.262820E+3	80.826938E+0
77	13.180764E+0	13.956952E+0	1.262820E+3	80.826938E+0
78	13.009802E+0	14.165073E+0	1.267783E+3	79.054704E+0
79	13.009802E+0	14.165073E+0	1.267783E+3	79.054704E+0
80	13.086721E+0	14.165073E+0	1.267783E+3	79.054704E+0
81	13.086721E+0	14.162058E+0	1.267711E+3	79.400210E+0
82	12.739341E+0	14.162058E+0	1.267711E+3	79.400210E+0
83	12.739341E+0	14.162058E+0	1.267711E+3	79.400210E+0
84	12.567938E+0	14.162058E+0	1.267711E+3	79.400210E+0
85	12.396063E+0	13.992083E+0	1.263657E+3	79.045076E+0
86	12.223743E+0	13.992083E+0	1.263657E+3	79.045076E+0
87	11.534454E+0	13.992083E+0	1.263657E+3	79.045076E+0
88	11.359158E+0	13.992083E+0	1.263657E+3	79.045076E+0
89	11.359158E+0	13.992083E+0	1.263657E+3	79.045076E+0
90	11.183463E+0	13.823713E+0	1.259642E+3	77.834531E+0
91	11.007375E+0	13.823713E+0	1.259642E+3	77.834531E+0
92	10.492492E+0	13.823713E+0	1.259642E+3	77.834531E+0
93	10.135130E+0	13.764058E+0	1.258220E+3	77.337150E+0
94	9.836030E+0	13.764058E+0	1.258220E+3	77.337150E+0
95	9.836030E+0	13.764058E+0	1.258220E+3	77.337150E+0
96	9.655911E+0	13.764058E+0	1.258220E+3	77.337150E+0
97	9.475483E+0	13.764058E+0	1.258220E+3	77.337150E+0
98	9.294752E+0	13.832895E+0	1.259861E+3	79.003575E+0
99	9.113736E+0	13.832895E+0	1.259861E+3	79.003575E+0
100	8.889938E+0	13.832895E+0	1.259861E+3	79.003575E+0
101	8.889938E+0	13.832895E+0	1.259861E+3	79.003575E+0
102	8.527472E+0	13.951724E+0	1.262695E+3	78.898318E+0
103	8.584741E+0	13.951724E+0	1.262695E+3	78.898318E+0
104	8.584741E+0	13.951724E+0	1.262695E+3	78.898318E+0
105	8.404143E+0	13.951724E+0	1.262695E+3	78.898318E+0
106	8.223341E+0	13.869992E+0	1.260746E+3	79.620104E+0
107	7.696910E+0	13.869992E+0	1.260746E+3	79.620104E+0
108	7.514772E+0	13.869992E+0	1.260746E+3	79.620104E+0
109	7.514772E+0	13.869992E+0	1.260746E+3	79.620104E+0
110	7.332487E+0	13.818623E+0	1.259521E+3	79.104624E+0
111	7.150061E+0	13.818623E+0	1.259521E+3	79.104624E+0
112	6.681092E+0	13.818623E+0	1.259521E+3	79.104624E+0
113	6.681092E+0	13.818623E+0	1.259521E+3	79.104624E+0
114	6.314470E+0	13.898229E+0	1.261419E+3	78.760549E+0
115	6.314470E+0	13.898229E+0	1.261419E+3	78.760549E+0
116	6.108363E+0	13.898229E+0	1.261419E+3	78.760549E+0
117	6.108363E+0	13.898229E+0	1.261419E+3	78.760549E+0
118	5.742856E+0	13.885260E+0	1.261110E+3	79.242280E+0
119	5.742856E+0	13.885260E+0	1.261110E+3	79.242280E+0
120	5.351066E+0	13.885260E+0	1.261110E+3	79.242280E+0
121	5.351066E+0	13.885260E+0	1.261110E+3	79.242280E+0
122	4.985231E+0	13.907734E+0	1.261646E+3	78.986494E+0
123	4.847523E+0	13.907734E+0	1.261646E+3	78.986494E+0
124	4.847523E+0	13.907734E+0	1.261646E+3	78.986494E+0
125	4.482348E+0	13.907734E+0	1.261646E+3	78.986494E+0
126	4.482348E+0	13.893646E+0	1.261310E+3	79.765907E+0
127	4.299856E+0	13.893646E+0	1.261310E+3	79.765907E+0
128	3.906670E+0	13.893646E+0	1.261310E+3	79.765907E+0
129	3.906670E+0	13.893646E+0	1.261310E+3	79.765907E+0
130	3.724317E+0	13.907472E+0	1.261640E+3	79.435176E+0
131	3.387765E+0	13.907472E+0	1.261640E+3	79.435176E+0
132	3.205943E+0	13.907472E+0	1.261640E+3	79.435176E+0
133	3.205943E+0	13.907472E+0	1.261640E+3	79.435176E+0
134	2.842780E+0	13.904947E+0	1.261580E+3	79.856550E+0
135	2.842780E+0	13.904947E+0	1.261580E+3	79.856550E+0
136	2.475242E+0	13.904947E+0	1.261580E+3	79.856550E+0
137	2.475242E+0	13.904947E+0	1.261580E+3	79.856550E+0
138	2.113583E+0	13.916432E+0	1.261853E+3	79.985812E+0
139	1.956181E+0	13.916432E+0	1.261853E+3	79.985812E+0
140	1.956181E+0	13.916432E+0	1.261853E+3	79.985812E+0
141	1.776054E+0	13.916432E+0	1.261853E+3	79.985812E+0
142	1.416583E+0	13.939028E+0	1.262392E+3	79.170571E+0
143	1.416583E+0	13.939028E+0	1.262392E+3	79.170571E+0
144	1.103887E+0	13.939028E+0	1.262392E+3	79.170571E+0
145	925.399903E-3	13.939028E+0	1.262392E+3	79.170571E+0
146	747.231764E-3	14.135781E+0	1.267084E+3	79.674718E+0
147	747.231764E-3	14.135781E+0	1.267084E+3	79.674718E+0
148	964.870393E-3	14.135781E+0	1.267084E+3	79.674718E+0
149	614.185256E-3	14.135781E+0	1.267084E+3	79.674718E+0
150	439.392969E-3	14.342991E+0	1.272025E+3	78.105517E+0
151	681.476952E-3	14.342991E+0	1.272025E+3	78.105517E+0
152	681.476952E-3	14.342991E+0	1.272025E+3	78.105517E+0
153	509.534154E-3	14.342991E+0	1.272025E+3	78.105517E+0
