mercredi 25 mars 2020	16:03:48	Sampling Period : 50  ms		OL alpha

t	Alpha [deg]	Position [cm]	X [pixerl]	Y [pixel]	  	  	  	  
0	0.000000E+0	15.583887E+0	1.301616E+3	78.795074E+0
1	0.000000E+0	15.583887E+0	1.301616E+3	78.795074E+0
2	0.000000E+0	15.583887E+0	1.301616E+3	78.795074E+0
3	0.000000E+0	15.583887E+0	1.301616E+3	78.795074E+0
4	0.000000E+0	15.597621E+0	1.301943E+3	78.399406E+0
5	0.000000E+0	15.597621E+0	1.301943E+3	78.399406E+0
6	0.000000E+0	15.597621E+0	1.301943E+3	78.399406E+0
7	0.000000E+0	15.597621E+0	1.301943E+3	78.399406E+0
8	0.000000E+0	15.594216E+0	1.301862E+3	78.412762E+0
9	0.000000E+0	15.594216E+0	1.301862E+3	78.412762E+0
10	0.000000E+0	15.594216E+0	1.301862E+3	78.412762E+0
11	0.000000E+0	15.594216E+0	1.301862E+3	78.412762E+0
12	0.000000E+0	15.587511E+0	1.301702E+3	78.380277E+0
13	7.000000E+0	15.587511E+0	1.301702E+3	78.380277E+0
14	8.098099E+0	15.587511E+0	1.301702E+3	78.380277E+0
15	9.176531E+0	15.587511E+0	1.301702E+3	78.380277E+0
16	10.216106E+0	15.588107E+0	1.301716E+3	78.550492E+0
17	11.198581E+0	15.588107E+0	1.301716E+3	78.550492E+0
18	12.107101E+0	15.588107E+0	1.301716E+3	78.550492E+0
19	12.926608E+0	15.588107E+0	1.301716E+3	78.550492E+0
20	13.644207E+0	15.600621E+0	1.302015E+3	79.086899E+0
21	14.249476E+0	15.600621E+0	1.302015E+3	79.086899E+0
22	14.734718E+0	15.600621E+0	1.302015E+3	79.086899E+0
23	15.095140E+0	15.600621E+0	1.302015E+3	79.086899E+0
24	15.328972E+0	15.584931E+0	1.301641E+3	79.646757E+0
25	15.437493E+0	15.584931E+0	1.301641E+3	79.646757E+0
26	15.425004E+0	15.584931E+0	1.301641E+3	79.646757E+0
27	15.298704E+0	15.584931E+0	1.301641E+3	79.646757E+0
28	15.068513E+0	15.578653E+0	1.301491E+3	79.707633E+0
29	14.746817E+0	15.578653E+0	1.301491E+3	79.707633E+0
30	14.348156E+0	15.578653E+0	1.301491E+3	79.707633E+0
31	13.888858E+0	15.578653E+0	1.301491E+3	79.707633E+0
32	13.386630E+0	15.573284E+0	1.301363E+3	79.409426E+0
33	12.860112E+0	15.573284E+0	1.301363E+3	79.409426E+0
34	12.328413E+0	15.573284E+0	1.301363E+3	79.409426E+0
35	11.810633E+0	15.573284E+0	1.301363E+3	79.409426E+0
36	11.325381E+0	15.580307E+0	1.301530E+3	79.221936E+0
37	10.890315E+0	15.580307E+0	1.301530E+3	79.221936E+0
38	10.521697E+0	15.580307E+0	1.301530E+3	79.221936E+0
39	10.233985E+0	15.580307E+0	1.301530E+3	79.221936E+0
40	10.039475E+0	15.577269E+0	1.301458E+3	79.172766E+0
41	9.947986E+0	15.577269E+0	1.301458E+3	79.172766E+0
42	9.966616E+0	15.577269E+0	1.301458E+3	79.172766E+0
43	10.099563E+0	15.577269E+0	1.301458E+3	79.172766E+0
44	10.348013E+0	15.567102E+0	1.301216E+3	78.448973E+0
45	10.710111E+0	15.567102E+0	1.301216E+3	78.448973E+0
46	11.180995E+0	15.567102E+0	1.301216E+3	78.448973E+0
47	11.752923E+0	15.567102E+0	1.301216E+3	78.448973E+0
48	11.752923E+0	15.580756E+0	1.301541E+3	78.312644E+0
49	13.155685E+0	15.580756E+0	1.301541E+3	78.312644E+0
50	13.958616E+0	15.580756E+0	1.301541E+3	78.312644E+0
51	14.807460E+0	15.580756E+0	1.301541E+3	78.312644E+0
52	15.684091E+0	15.582855E+0	1.301591E+3	78.463238E+0
53	16.569473E+0	15.582855E+0	1.301591E+3	78.463238E+0
54	17.444137E+0	15.582855E+0	1.301591E+3	78.463238E+0
55	18.288651E+0	15.582855E+0	1.301591E+3	78.463238E+0
56	19.084105E+0	15.576890E+0	1.301449E+3	78.719230E+0
57	19.812574E+0	15.576890E+0	1.301449E+3	78.719230E+0
58	20.457556E+0	15.576890E+0	1.301449E+3	78.719230E+0
59	21.004384E+0	15.576890E+0	1.301449E+3	78.719230E+0
60	21.440580E+0	15.556011E+0	1.300951E+3	79.483892E+0
61	21.756170E+0	15.556011E+0	1.300951E+3	79.483892E+0
62	21.943924E+0	15.556011E+0	1.300951E+3	79.483892E+0
63	21.999536E+0	15.556011E+0	1.300951E+3	79.483892E+0
64	21.921729E+0	15.531997E+0	1.300378E+3	79.398771E+0
65	21.712290E+0	15.531997E+0	1.300378E+3	79.398771E+0
66	21.376020E+0	15.531997E+0	1.300378E+3	79.398771E+0
67	20.920621E+0	15.531997E+0	1.300378E+3	79.398771E+0
68	20.356505E+0	15.401070E+0	1.297256E+3	79.011383E+0
69	19.696535E+0	15.401070E+0	1.297256E+3	79.011383E+0
70	18.955713E+0	15.401070E+0	1.297256E+3	79.011383E+0
71	18.150804E+0	15.401070E+0	1.297256E+3	79.011383E+0
72	17.299932E+0	14.999806E+0	1.287688E+3	75.509615E+0
73	16.422126E+0	14.999806E+0	1.287688E+3	75.509615E+0
74	15.536856E+0	14.999806E+0	1.287688E+3	75.509615E+0
75	14.663553E+0	14.999806E+0	1.287688E+3	75.509615E+0
76	13.821133E+0	14.129463E+0	1.266933E+3	77.225778E+0
77	13.027529E+0	14.129463E+0	1.266933E+3	77.225778E+0
78	12.299255E+0	14.129463E+0	1.266933E+3	77.225778E+0
79	11.650996E+0	14.129463E+0	1.266933E+3	77.225778E+0
80	11.095254E+0	12.963394E+0	1.239127E+3	77.905063E+0
81	10.642039E+0	12.963394E+0	1.239127E+3	77.905063E+0
82	10.298625E+0	12.963394E+0	1.239127E+3	77.905063E+0
83	10.069378E+0	12.963394E+0	1.239127E+3	77.905063E+0
84	9.955649E+0	11.359258E+0	1.200875E+3	79.270133E+0
85	9.955743E+0	11.359258E+0	1.200875E+3	79.270133E+0
86	10.064972E+0	11.359258E+0	1.200875E+3	79.270133E+0
87	10.275768E+0	11.359258E+0	1.200875E+3	79.270133E+0
88	10.577880E+0	9.824861E+0	1.164285E+3	82.380990E+0
89	10.958631E+0	9.824861E+0	1.164285E+3	82.380990E+0
90	11.403233E+0	9.824861E+0	1.164285E+3	82.380990E+0
91	11.895164E+0	9.824861E+0	1.164285E+3	82.380990E+0
92	12.416576E+0	8.475443E+0	1.132107E+3	78.406362E+0
93	12.948743E+0	8.475443E+0	1.132107E+3	78.406362E+0
94	13.472533E+0	8.475443E+0	1.132107E+3	78.406362E+0
95	13.968881E+0	8.475443E+0	1.132107E+3	78.406362E+0
96	14.419271E+0	7.062683E+0	1.098418E+3	83.633814E+0
97	14.806194E+0	7.062683E+0	1.098418E+3	83.633814E+0
