mercredi 25 mars 2020	15:56:01	Sampling Period : 50  ms		OL alpha

t	Alpha [deg]	Position [cm]	X [pixerl]	Y [pixel]	  	  	  	  
0	0.000000E+0	17.334148E+0	1.343353E+3	76.181365E+0
1	0.000000E+0	17.334148E+0	1.343353E+3	76.181365E+0
2	0.000000E+0	17.334148E+0	1.343353E+3	76.181365E+0
3	0.000000E+0	17.335539E+0	1.343386E+3	76.492415E+0
4	0.000000E+0	17.335539E+0	1.343386E+3	76.492415E+0
5	0.000000E+0	17.335539E+0	1.343386E+3	76.492415E+0
6	0.000000E+0	17.335539E+0	1.343386E+3	76.492415E+0
7	0.000000E+0	17.317235E+0	1.342949E+3	76.463684E+0
8	0.000000E+0	17.317235E+0	1.342949E+3	76.463684E+0
9	0.000000E+0	17.317235E+0	1.342949E+3	76.463684E+0
10	0.000000E+0	17.317235E+0	1.342949E+3	76.463684E+0
11	0.000000E+0	17.317235E+0	1.342949E+3	76.463684E+0
12	0.000000E+0	17.317827E+0	1.342964E+3	76.323244E+0
13	0.000000E+0	17.317827E+0	1.342964E+3	76.323244E+0
14	0.000000E+0	17.317827E+0	1.342964E+3	76.323244E+0
15	0.000000E+0	17.317827E+0	1.342964E+3	76.323244E+0
16	0.000000E+0	17.311325E+0	1.342809E+3	76.294762E+0
17	0.000000E+0	17.311325E+0	1.342809E+3	76.294762E+0
18	0.000000E+0	17.311325E+0	1.342809E+3	76.294762E+0
19	0.000000E+0	17.311325E+0	1.342809E+3	76.294762E+0
20	0.000000E+0	17.315018E+0	1.342897E+3	75.544468E+0
21	0.000000E+0	17.315018E+0	1.342897E+3	75.544468E+0
22	0.000000E+0	17.315018E+0	1.342897E+3	75.544468E+0
23	7.000000E+0	17.315018E+0	1.342897E+3	75.544468E+0
24	7.314632E+0	17.321038E+0	1.343040E+3	75.656259E+0
25	7.628952E+0	17.321038E+0	1.343040E+3	75.656259E+0
26	7.942650E+0	17.321038E+0	1.343040E+3	75.656259E+0
27	8.255414E+0	17.323855E+0	1.343107E+3	75.613909E+0
28	8.566935E+0	17.323855E+0	1.343107E+3	75.613909E+0
29	8.876904E+0	17.323855E+0	1.343107E+3	75.613909E+0
30	9.185015E+0	17.323855E+0	1.343107E+3	75.613909E+0
31	9.490963E+0	17.323855E+0	1.343107E+3	75.613909E+0
32	9.794444E+0	17.353758E+0	1.343820E+3	76.391966E+0
33	10.095158E+0	17.353758E+0	1.343820E+3	76.391966E+0
34	10.392807E+0	17.353758E+0	1.343820E+3	76.391966E+0
35	10.687097E+0	17.345692E+0	1.343628E+3	76.654015E+0
36	10.977735E+0	17.345692E+0	1.343628E+3	76.654015E+0
37	11.264436E+0	17.345692E+0	1.343628E+3	76.654015E+0
38	11.546913E+0	17.345692E+0	1.343628E+3	76.654015E+0
39	11.824889E+0	17.345692E+0	1.343628E+3	76.654015E+0
40	12.098087E+0	17.342568E+0	1.343554E+3	77.050794E+0
41	12.098087E+0	17.342568E+0	1.343554E+3	77.050794E+0
42	12.629073E+0	17.342568E+0	1.343554E+3	77.050794E+0
43	12.886335E+0	17.342568E+0	1.343554E+3	77.050794E+0
44	13.137770E+0	17.358299E+0	1.343929E+3	77.022539E+0
45	13.383126E+0	17.358299E+0	1.343929E+3	77.022539E+0
46	13.622162E+0	17.358299E+0	1.343929E+3	77.022539E+0
47	13.854641E+0	17.358299E+0	1.343929E+3	77.022539E+0
48	14.080333E+0	17.215498E+0	1.340523E+3	78.854545E+0
49	14.299014E+0	17.215498E+0	1.340523E+3	78.854545E+0
50	14.510468E+0	17.215498E+0	1.340523E+3	78.854545E+0
51	14.714485E+0	17.215498E+0	1.340523E+3	78.854545E+0
52	14.910863E+0	16.891806E+0	1.332805E+3	80.479603E+0
53	15.099408E+0	16.891806E+0	1.332805E+3	80.479603E+0
54	15.279934E+0	16.891806E+0	1.332805E+3	80.479603E+0
55	15.452260E+0	16.891806E+0	1.332805E+3	80.479603E+0
56	15.616218E+0	16.606684E+0	1.326006E+3	81.222134E+0
57	15.771644E+0	16.606684E+0	1.326006E+3	81.222134E+0
58	15.918384E+0	16.606684E+0	1.326006E+3	81.222134E+0
59	16.056294E+0	16.224409E+0	1.316890E+3	79.163532E+0
60	16.185236E+0	16.224409E+0	1.316890E+3	79.163532E+0
61	16.305083E+0	16.224409E+0	1.316890E+3	79.163532E+0
62	16.415717E+0	16.224409E+0	1.316890E+3	79.163532E+0
63	16.517027E+0	16.224409E+0	1.316890E+3	79.163532E+0
64	16.608914E+0	15.726032E+0	1.305005E+3	78.927510E+0
65	16.691286E+0	15.726032E+0	1.305005E+3	78.927510E+0
66	16.764062E+0	15.726032E+0	1.305005E+3	78.927510E+0
67	16.827171E+0	15.726032E+0	1.305005E+3	78.927510E+0
68	16.880548E+0	15.164193E+0	1.291608E+3	77.983598E+0
69	16.924142E+0	15.164193E+0	1.291608E+3	77.983598E+0
70	16.957909E+0	15.164193E+0	1.291608E+3	77.983598E+0
71	16.981816E+0	15.164193E+0	1.291608E+3	77.983598E+0
72	16.995840E+0	14.465611E+0	1.274949E+3	77.769086E+0
73	16.999966E+0	14.465611E+0	1.274949E+3	77.769086E+0
74	16.994190E+0	14.465611E+0	1.274949E+3	77.769086E+0
75	16.978518E+0	14.465611E+0	1.274949E+3	77.769086E+0
76	16.952965E+0	13.574970E+0	1.253711E+3	78.192084E+0
77	16.917558E+0	13.574970E+0	1.253711E+3	78.192084E+0
78	16.872330E+0	13.574970E+0	1.253711E+3	78.192084E+0
79	16.817327E+0	13.574970E+0	1.253711E+3	78.192084E+0
80	16.752603E+0	12.311061E+0	1.223571E+3	77.425381E+0
81	16.678222E+0	12.311061E+0	1.223571E+3	77.425381E+0
82	16.594258E+0	12.311061E+0	1.223571E+3	77.425381E+0
83	16.500794E+0	12.311061E+0	1.223571E+3	77.425381E+0
84	16.397922E+0	10.887369E+0	1.189622E+3	77.485143E+0
85	16.285745E+0	10.887369E+0	1.189622E+3	77.485143E+0
86	16.164374E+0	10.887369E+0	1.189622E+3	77.485143E+0
87	16.033928E+0	10.887369E+0	1.189622E+3	77.485143E+0
88	15.894537E+0	9.367541E+0	1.153380E+3	78.635276E+0
89	15.746338E+0	9.367541E+0	1.153380E+3	78.635276E+0
90	15.589480E+0	9.367541E+0	1.153380E+3	78.635276E+0
91	15.424116E+0	9.367541E+0	1.153380E+3	78.635276E+0
92	15.250411E+0	7.910187E+0	1.118628E+3	78.249936E+0
93	15.068536E+0	7.910187E+0	1.118628E+3	78.249936E+0
94	14.878672E+0	7.910187E+0	1.118628E+3	78.249936E+0
95	14.681007E+0	7.910187E+0	1.118628E+3	78.249936E+0
96	14.475736E+0	6.429281E+0	1.083314E+3	80.519271E+0
97	14.263063E+0	6.429281E+0	1.083314E+3	80.519271E+0
