jeudi 27 février 2020	16:27:44	Sampling Period : 50  ms		OL alpha1

t	I1	I2	Alpha1	Alpha2	x	y	dotx	doty
0	0.000000E+0	13.476869E+0	13.476869E+0	83.368042E+0
1	0.000000E+0	14.985605E+0	14.985605E+0	80.393109E+0
2	0.000000E+0	14.985605E+0	14.985605E+0	80.393109E+0
3	0.000000E+0	14.985605E+0	14.985605E+0	80.393109E+0
4	0.000000E+0	14.985605E+0	14.985605E+0	80.393109E+0
5	0.000000E+0	14.985605E+0	14.985605E+0	80.393109E+0
6	0.000000E+0	16.415938E+0	16.415938E+0	80.696531E+0
7	0.000000E+0	16.415938E+0	16.415938E+0	80.696531E+0
8	0.000000E+0	16.415938E+0	16.415938E+0	80.696531E+0
9	0.000000E+0	16.415938E+0	16.415938E+0	80.696531E+0
10	0.000000E+0	17.753061E+0	17.753061E+0	83.599663E+0
11	0.000000E+0	17.753061E+0	17.753061E+0	83.599663E+0
12	0.000000E+0	17.753061E+0	17.753061E+0	83.599663E+0
13	0.000000E+0	17.753061E+0	17.753061E+0	83.599663E+0
14	0.000000E+0	19.151972E+0	19.151972E+0	81.896561E+0
15	0.000000E+0	19.151972E+0	19.151972E+0	81.896561E+0
16	0.000000E+0	19.151972E+0	19.151972E+0	81.896561E+0
17	0.000000E+0	20.780218E+0	20.780218E+0	81.882544E+0
18	1.000000E+0	20.780218E+0	20.780218E+0	81.882544E+0
19	1.000000E+0	20.780218E+0	20.780218E+0	81.882544E+0
20	2.000000E+0	20.780218E+0	20.780218E+0	81.882544E+0
21	2.000000E+0	20.780218E+0	20.780218E+0	81.882544E+0
22	3.000000E+0	22.431260E+0	22.431260E+0	79.404278E+0
23	3.000000E+0	22.431260E+0	22.431260E+0	79.404278E+0
24	4.000000E+0	22.431260E+0	22.431260E+0	79.404278E+0
25	4.000000E+0	22.431260E+0	22.431260E+0	79.404278E+0
26	5.000000E+0	23.917797E+0	23.917797E+0	78.864078E+0
27	5.000000E+0	23.917797E+0	23.917797E+0	78.864078E+0
28	6.000000E+0	23.917797E+0	23.917797E+0	78.864078E+0
29	6.000000E+0	25.341482E+0	25.341482E+0	81.203846E+0
30	7.000000E+0	25.341482E+0	25.341482E+0	81.203846E+0
31	7.000000E+0	25.341482E+0	25.341482E+0	81.203846E+0
32	7.000000E+0	25.341482E+0	25.341482E+0	81.203846E+0
33	7.000000E+0	25.341482E+0	25.341482E+0	81.203846E+0
34	8.000000E+0	26.577285E+0	26.577285E+0	83.473910E+0
35	8.000000E+0	26.577285E+0	26.577285E+0	83.473910E+0
36	8.000000E+0	26.577285E+0	26.577285E+0	83.473910E+0
37	8.000000E+0	26.577285E+0	26.577285E+0	83.473910E+0
38	9.000000E+0	27.641824E+0	27.641824E+0	79.052370E+0
39	9.000000E+0	27.641824E+0	27.641824E+0	79.052370E+0
40	9.000000E+0	27.641824E+0	27.641824E+0	79.052370E+0
41	9.000000E+0	28.842320E+0	28.842320E+0	81.980955E+0
42	9.000000E+0	28.842320E+0	28.842320E+0	81.980955E+0
43	9.000000E+0	28.842320E+0	28.842320E+0	81.980955E+0
44	9.000000E+0	28.842320E+0	28.842320E+0	81.980955E+0
45	9.000000E+0	28.842320E+0	28.842320E+0	81.980955E+0
46	9.000000E+0	30.008649E+0	30.008649E+0	84.871464E+0
47	9.000000E+0	30.008649E+0	30.008649E+0	84.871464E+0
48	9.000000E+0	30.008649E+0	30.008649E+0	84.871464E+0
49	9.000000E+0	30.008649E+0	30.008649E+0	84.871464E+0
50	9.000000E+0	30.912100E+0	30.912100E+0	85.506837E+0
51	9.000000E+0	30.912100E+0	30.912100E+0	85.506837E+0
52	9.000000E+0	30.912100E+0	30.912100E+0	85.506837E+0
53	9.000000E+0	30.912100E+0	30.912100E+0	85.506837E+0
54	9.000000E+0	31.550403E+0	31.550403E+0	84.994683E+0
55	9.000000E+0	31.550403E+0	31.550403E+0	84.994683E+0
56	8.000000E+0	31.550403E+0	31.550403E+0	84.994683E+0
57	8.000000E+0	31.550403E+0	31.550403E+0	84.994683E+0
58	8.000000E+0	31.704375E+0	31.704375E+0	81.242801E+0
59	8.000000E+0	31.704375E+0	31.704375E+0	81.242801E+0
