jeudi 27 février 2020	17:11:11	Sampling Period : 50  ms		OL alpha1

t	I1	I2	Alpha1	Alpha2	x	y	dotx	doty
0	0.000000E+0	38.447799E+0	38.447799E+0	78.938075E+0
1	0.000000E+0	38.447799E+0	38.447799E+0	78.938075E+0
2	0.000000E+0	38.454984E+0	38.454984E+0	78.650124E+0
3	0.000000E+0	38.454984E+0	38.454984E+0	78.650124E+0
4	0.000000E+0	38.454984E+0	38.454984E+0	78.650124E+0
5	0.000000E+0	38.454984E+0	38.454984E+0	78.650124E+0
6	0.000000E+0	38.458931E+0	38.458931E+0	77.920020E+0
7	0.000000E+0	38.458931E+0	38.458931E+0	77.920020E+0
8	0.000000E+0	38.458931E+0	38.458931E+0	77.920020E+0
9	0.000000E+0	38.458931E+0	38.458931E+0	77.920020E+0
10	0.000000E+0	38.458910E+0	38.458910E+0	78.029678E+0
11	0.000000E+0	38.458910E+0	38.458910E+0	78.029678E+0
12	20.000000E+0	38.458910E+0	38.458910E+0	78.029678E+0
13	20.000000E+0	38.458910E+0	38.458910E+0	78.029678E+0
14	20.000000E+0	38.456970E+0	38.456970E+0	77.594969E+0
15	20.000000E+0	38.456970E+0	38.456970E+0	77.594969E+0
16	20.000000E+0	38.456970E+0	38.456970E+0	77.594969E+0
17	20.000000E+0	38.456970E+0	38.456970E+0	77.594969E+0
18	20.000000E+0	38.844300E+0	38.844300E+0	74.250000E+0
19	20.000000E+0	38.844300E+0	38.844300E+0	74.250000E+0
20	20.000000E+0	38.844300E+0	38.844300E+0	74.250000E+0
21	20.000000E+0	38.844300E+0	38.844300E+0	74.250000E+0
22	20.000000E+0	38.753650E+0	38.753650E+0	74.705882E+0
23	20.000000E+0	38.753650E+0	38.753650E+0	74.705882E+0
24	20.000000E+0	38.753650E+0	38.753650E+0	74.705882E+0
25	20.000000E+0	38.753650E+0	38.753650E+0	74.705882E+0
26	20.000000E+0	37.646791E+0	37.646791E+0	84.246043E+0
27	20.000000E+0	37.646791E+0	37.646791E+0	84.246043E+0
28	20.000000E+0	37.646791E+0	37.646791E+0	84.246043E+0
29	20.000000E+0	37.646791E+0	37.646791E+0	84.246043E+0
30	20.000000E+0	35.168993E+0	35.168993E+0	82.643797E+0
31	20.000000E+0	35.168993E+0	35.168993E+0	82.643797E+0
32	20.000000E+0	35.168993E+0	35.168993E+0	82.643797E+0
33	20.000000E+0	35.168993E+0	35.168993E+0	82.643797E+0
34	20.000000E+0	32.577264E+0	32.577264E+0	81.590156E+0
35	20.000000E+0	32.577264E+0	32.577264E+0	81.590156E+0
36	20.000000E+0	32.577264E+0	32.577264E+0	81.590156E+0
37	20.000000E+0	32.577264E+0	32.577264E+0	81.590156E+0
38	20.000000E+0	30.118049E+0	30.118049E+0	85.771555E+0
39	20.000000E+0	30.118049E+0	30.118049E+0	85.771555E+0
40	20.000000E+0	30.118049E+0	30.118049E+0	85.771555E+0
41	20.000000E+0	30.118049E+0	30.118049E+0	85.771555E+0
42	20.000000E+0	27.571229E+0	27.571229E+0	83.911333E+0
43	20.000000E+0	27.571229E+0	27.571229E+0	83.911333E+0
44	20.000000E+0	27.571229E+0	27.571229E+0	83.911333E+0
45	20.000000E+0	27.571229E+0	27.571229E+0	83.911333E+0
46	20.000000E+0	24.967235E+0	24.967235E+0	84.044182E+0
47	20.000000E+0	24.967235E+0	24.967235E+0	84.044182E+0
48	20.000000E+0	24.967235E+0	24.967235E+0	84.044182E+0
49	20.000000E+0	24.967235E+0	24.967235E+0	84.044182E+0
50	20.000000E+0	22.433636E+0	22.433636E+0	84.302920E+0
51	20.000000E+0	22.433636E+0	22.433636E+0	84.302920E+0
52	20.000000E+0	22.433636E+0	22.433636E+0	84.302920E+0
53	20.000000E+0	22.433636E+0	22.433636E+0	84.302920E+0
54	20.000000E+0	20.105996E+0	20.105996E+0	86.512708E+0
55	20.000000E+0	20.105996E+0	20.105996E+0	86.512708E+0
56	20.000000E+0	20.105996E+0	20.105996E+0	86.512708E+0
57	20.000000E+0	20.105996E+0	20.105996E+0	86.512708E+0
58	20.000000E+0	17.605795E+0	17.605795E+0	84.964070E+0
59	20.000000E+0	17.605795E+0	17.605795E+0	84.964070E+0
