jeudi 27 février 2020	17:07:37	Sampling Period : 50  ms		OL alpha1

t	I1	I2	Alpha1	Alpha2	x	y	dotx	doty
0	0.000000E+0	38.435770E+0	38.435770E+0	81.692699E+0
1	0.000000E+0	38.435770E+0	38.435770E+0	81.692699E+0
2	0.000000E+0	38.444586E+0	38.444586E+0	82.734375E+0
3	0.000000E+0	38.444586E+0	38.444586E+0	82.734375E+0
4	0.000000E+0	38.444586E+0	38.444586E+0	82.734375E+0
5	0.000000E+0	38.444586E+0	38.444586E+0	82.734375E+0
6	0.000000E+0	38.444586E+0	38.444586E+0	82.734375E+0
7	0.000000E+0	38.435227E+0	38.435227E+0	83.214383E+0
8	0.000000E+0	38.435227E+0	38.435227E+0	83.214383E+0
9	0.000000E+0	38.435227E+0	38.435227E+0	83.214383E+0
10	0.000000E+0	38.431781E+0	38.431781E+0	83.283862E+0
11	0.000000E+0	38.431781E+0	38.431781E+0	83.283862E+0
12	0.000000E+0	38.431781E+0	38.431781E+0	83.283862E+0
13	20.000000E+0	38.431781E+0	38.431781E+0	83.283862E+0
14	20.000000E+0	38.429159E+0	38.429159E+0	82.485676E+0
15	20.000000E+0	38.429159E+0	38.429159E+0	82.485676E+0
16	20.000000E+0	38.429159E+0	38.429159E+0	82.485676E+0
17	20.000000E+0	38.429159E+0	38.429159E+0	82.485676E+0
18	20.000000E+0	38.814912E+0	38.814912E+0	71.846715E+0
19	20.000000E+0	38.814912E+0	38.814912E+0	71.846715E+0
20	20.000000E+0	38.814912E+0	38.814912E+0	71.846715E+0
21	20.000000E+0	38.814912E+0	38.814912E+0	71.846715E+0
22	20.000000E+0	38.814912E+0	38.814912E+0	71.846715E+0
23	20.000000E+0	38.841617E+0	38.841617E+0	73.677966E+0
24	20.000000E+0	38.841617E+0	38.841617E+0	73.677966E+0
25	20.000000E+0	38.841617E+0	38.841617E+0	73.677966E+0
26	20.000000E+0	38.142615E+0	38.142615E+0	78.961333E+0
27	20.000000E+0	38.142615E+0	38.142615E+0	78.961333E+0
28	20.000000E+0	38.142615E+0	38.142615E+0	78.961333E+0
29	20.000000E+0	38.142615E+0	38.142615E+0	78.961333E+0
30	20.000000E+0	36.425452E+0	36.425452E+0	79.286239E+0
31	20.000000E+0	36.425452E+0	36.425452E+0	79.286239E+0
32	20.000000E+0	36.425452E+0	36.425452E+0	79.286239E+0
33	20.000000E+0	36.425452E+0	36.425452E+0	79.286239E+0
34	20.000000E+0	36.425452E+0	36.425452E+0	79.286239E+0
35	20.000000E+0	33.945540E+0	33.945540E+0	76.581698E+0
36	20.000000E+0	33.945540E+0	33.945540E+0	76.581698E+0
37	20.000000E+0	33.945540E+0	33.945540E+0	76.581698E+0
38	20.000000E+0	33.945540E+0	33.945540E+0	76.581698E+0
39	20.000000E+0	31.285360E+0	31.285360E+0	79.483765E+0
40	20.000000E+0	31.285360E+0	31.285360E+0	79.483765E+0
41	20.000000E+0	31.285360E+0	31.285360E+0	79.483765E+0
42	20.000000E+0	31.285360E+0	31.285360E+0	79.483765E+0
43	20.000000E+0	28.702649E+0	28.702649E+0	79.782735E+0
44	20.000000E+0	28.702649E+0	28.702649E+0	79.782735E+0
45	20.000000E+0	28.702649E+0	28.702649E+0	79.782735E+0
46	20.000000E+0	26.166735E+0	26.166735E+0	79.615474E+0
47	20.000000E+0	26.166735E+0	26.166735E+0	79.615474E+0
48	20.000000E+0	26.166735E+0	26.166735E+0	79.615474E+0
49	20.000000E+0	26.166735E+0	26.166735E+0	79.615474E+0
50	20.000000E+0	26.166735E+0	26.166735E+0	79.615474E+0
51	20.000000E+0	23.538198E+0	23.538198E+0	82.783325E+0
52	20.000000E+0	23.538198E+0	23.538198E+0	82.783325E+0
53	20.000000E+0	23.538198E+0	23.538198E+0	82.783325E+0
54	20.000000E+0	20.898026E+0	20.898026E+0	84.130523E+0
55	20.000000E+0	20.898026E+0	20.898026E+0	84.130523E+0
56	20.000000E+0	20.898026E+0	20.898026E+0	84.130523E+0
57	20.000000E+0	20.898026E+0	20.898026E+0	84.130523E+0
58	20.000000E+0	20.898026E+0	20.898026E+0	84.130523E+0
59	20.000000E+0	18.405219E+0	18.405219E+0	84.485714E+0
