mardi 18 février 2020	17:52:47	Sampling Period : 50  ms		OL alpha1

t	I1	I2	Alpha1	Alpha2	x	y	dotx	doty
0	0.000000E+0	35.970870E+0	35.970870E+0	85.313978E+0
1	0.000000E+0	35.970870E+0	35.970870E+0	85.313978E+0
2	0.000000E+0	35.970870E+0	35.970870E+0	85.313978E+0
3	0.000000E+0	35.970870E+0	35.970870E+0	85.313978E+0
4	0.000000E+0	35.970526E+0	35.970526E+0	85.236738E+0
5	0.000000E+0	35.970526E+0	35.970526E+0	85.236738E+0
6	0.000000E+0	35.970526E+0	35.970526E+0	85.236738E+0
7	0.000000E+0	35.970526E+0	35.970526E+0	85.236738E+0
8	0.000000E+0	35.973956E+0	35.973956E+0	85.143982E+0
9	0.000000E+0	35.973956E+0	35.973956E+0	85.143982E+0
10	0.000000E+0	35.973956E+0	35.973956E+0	85.143982E+0
11	0.000000E+0	35.973956E+0	35.973956E+0	85.143982E+0
12	0.000000E+0	35.981675E+0	35.981675E+0	85.109723E+0
13	7.000000E+0	35.981675E+0	35.981675E+0	85.109723E+0
14	7.000000E+0	35.981675E+0	35.981675E+0	85.109723E+0
15	7.000000E+0	35.981675E+0	35.981675E+0	85.109723E+0
16	7.000000E+0	35.988479E+0	35.988479E+0	85.071384E+0
17	7.000000E+0	35.988479E+0	35.988479E+0	85.071384E+0
18	7.000000E+0	35.988479E+0	35.988479E+0	85.071384E+0
19	7.000000E+0	35.988479E+0	35.988479E+0	85.071384E+0
20	7.000000E+0	36.457817E+0	36.457817E+0	85.557354E+0
21	7.000000E+0	36.457817E+0	36.457817E+0	85.557354E+0
22	7.000000E+0	36.457817E+0	36.457817E+0	85.557354E+0
23	7.000000E+0	36.457817E+0	36.457817E+0	85.557354E+0
24	7.000000E+0	36.372251E+0	36.372251E+0	85.188770E+0
25	7.000000E+0	36.372251E+0	36.372251E+0	85.188770E+0
26	7.000000E+0	36.372251E+0	36.372251E+0	85.188770E+0
27	7.000000E+0	36.372251E+0	36.372251E+0	85.188770E+0
28	7.000000E+0	36.400279E+0	36.400279E+0	85.270107E+0
29	7.000000E+0	36.400279E+0	36.400279E+0	85.270107E+0
30	7.000000E+0	36.400279E+0	36.400279E+0	85.270107E+0
31	7.000000E+0	36.400279E+0	36.400279E+0	85.270107E+0
32	7.000000E+0	36.399129E+0	36.399129E+0	85.310246E+0
33	7.000000E+0	36.399129E+0	36.399129E+0	85.310246E+0
34	7.000000E+0	36.399129E+0	36.399129E+0	85.310246E+0
35	7.000000E+0	36.399129E+0	36.399129E+0	85.310246E+0
36	7.000000E+0	36.389857E+0	36.389857E+0	85.385035E+0
37	-28.000000E+0	36.389857E+0	36.389857E+0	85.385035E+0
38	-28.000000E+0	36.389857E+0	36.389857E+0	85.385035E+0
39	-28.000000E+0	36.389857E+0	36.389857E+0	85.385035E+0
40	-28.000000E+0	36.384167E+0	36.384167E+0	85.404092E+0
41	-28.000000E+0	36.384167E+0	36.384167E+0	85.404092E+0
42	-28.000000E+0	36.384167E+0	36.384167E+0	85.404092E+0
43	-28.000000E+0	36.384167E+0	36.384167E+0	85.404092E+0
44	-28.000000E+0	33.772990E+0	33.772990E+0	83.229296E+0
45	-28.000000E+0	33.772990E+0	33.772990E+0	83.229296E+0
46	-28.000000E+0	33.772990E+0	33.772990E+0	83.229296E+0
47	-28.000000E+0	33.772990E+0	33.772990E+0	83.229296E+0
48	-28.000000E+0	33.645888E+0	33.645888E+0	88.642269E+0
49	-28.000000E+0	33.645888E+0	33.645888E+0	88.642269E+0
50	-28.000000E+0	33.645888E+0	33.645888E+0	88.642269E+0
51	-28.000000E+0	33.645888E+0	33.645888E+0	88.642269E+0
52	-28.000000E+0	33.694707E+0	33.694707E+0	83.721537E+0
53	-28.000000E+0	33.694707E+0	33.694707E+0	83.721537E+0
54	-28.000000E+0	33.694707E+0	33.694707E+0	83.721537E+0
55	-28.000000E+0	33.694707E+0	33.694707E+0	83.721537E+0
56	-28.000000E+0	33.671964E+0	33.671964E+0	80.373413E+0
57	25.000000E+0	33.671964E+0	33.671964E+0	80.373413E+0
58	25.000000E+0	33.671964E+0	33.671964E+0	80.373413E+0
