mardi 18 février 2020	15:48:23	Sampling Period : 50  ms		Free control

t	I1	I2	Alpha1	Alpha2	x	y	dotx	doty
0	0.000000E+0	36.081625E+0	36.081625E+0	82.855316E+0
1	0.000000E+0	36.081625E+0	36.081625E+0	82.855316E+0
2	0.000000E+0	36.081625E+0	36.081625E+0	82.855316E+0
3	0.000000E+0	36.081625E+0	36.081625E+0	82.855316E+0
4	0.000000E+0	36.082346E+0	36.082346E+0	83.134119E+0
5	0.000000E+0	36.082346E+0	36.082346E+0	83.134119E+0
6	0.000000E+0	36.082346E+0	36.082346E+0	83.134119E+0
7	0.000000E+0	36.082024E+0	36.082024E+0	83.647693E+0
8	0.000000E+0	36.082024E+0	36.082024E+0	83.647693E+0
9	0.000000E+0	36.082024E+0	36.082024E+0	83.647693E+0
10	0.000000E+0	36.082024E+0	36.082024E+0	83.647693E+0
11	0.000000E+0	36.082024E+0	36.082024E+0	83.647693E+0
12	0.000000E+0	36.092939E+0	36.092939E+0	84.281595E+0
13	0.000000E+0	36.092939E+0	36.092939E+0	84.281595E+0
14	40.000000E+0	36.092939E+0	36.092939E+0	84.281595E+0
15	40.000000E+0	36.092939E+0	36.092939E+0	84.281595E+0
16	40.000000E+0	36.086672E+0	36.086672E+0	84.416252E+0
17	40.000000E+0	36.086672E+0	36.086672E+0	84.416252E+0
18	40.000000E+0	36.086672E+0	36.086672E+0	84.416252E+0
19	40.000000E+0	36.086672E+0	36.086672E+0	84.416252E+0
20	40.000000E+0	37.687748E+0	37.687748E+0	84.461847E+0
21	40.000000E+0	37.687748E+0	37.687748E+0	84.461847E+0
22	40.000000E+0	37.687748E+0	37.687748E+0	84.461847E+0
23	40.000000E+0	37.687748E+0	37.687748E+0	84.461847E+0
24	40.000000E+0	37.661175E+0	37.661175E+0	81.040431E+0
25	40.000000E+0	37.661175E+0	37.661175E+0	81.040431E+0
26	40.000000E+0	37.661175E+0	37.661175E+0	81.040431E+0
27	40.000000E+0	37.661175E+0	37.661175E+0	81.040431E+0
28	40.000000E+0	34.342233E+0	34.342233E+0	82.013559E+0
29	40.000000E+0	34.342233E+0	34.342233E+0	82.013559E+0
30	40.000000E+0	34.342233E+0	34.342233E+0	82.013559E+0
31	40.000000E+0	34.342233E+0	34.342233E+0	82.013559E+0
32	40.000000E+0	30.033623E+0	30.033623E+0	82.887746E+0
33	40.000000E+0	30.033623E+0	30.033623E+0	82.887746E+0
34	40.000000E+0	30.033623E+0	30.033623E+0	82.887746E+0
35	40.000000E+0	30.033623E+0	30.033623E+0	82.887746E+0
36	40.000000E+0	25.862347E+0	25.862347E+0	83.195621E+0
37	40.000000E+0	25.862347E+0	25.862347E+0	83.195621E+0
38	40.000000E+0	25.862347E+0	25.862347E+0	83.195621E+0
39	40.000000E+0	25.862347E+0	25.862347E+0	83.195621E+0
40	40.000000E+0	21.781458E+0	21.781458E+0	85.744748E+0
41	40.000000E+0	21.781458E+0	21.781458E+0	85.744748E+0
42	40.000000E+0	21.781458E+0	21.781458E+0	85.744748E+0
43	40.000000E+0	17.678561E+0	17.678561E+0	87.359489E+0
44	40.000000E+0	17.678561E+0	17.678561E+0	87.359489E+0
45	40.000000E+0	17.678561E+0	17.678561E+0	87.359489E+0
46	40.000000E+0	17.678561E+0	17.678561E+0	87.359489E+0
47	40.000000E+0	17.678561E+0	17.678561E+0	87.359489E+0
48	40.000000E+0	14.078716E+0	14.078716E+0	78.821149E+0
49	40.000000E+0	14.078716E+0	14.078716E+0	78.821149E+0
50	40.000000E+0	14.078716E+0	14.078716E+0	78.821149E+0
51	40.000000E+0	14.078716E+0	14.078716E+0	78.821149E+0
52	40.000000E+0	10.282726E+0	10.282726E+0	76.080157E+0
53	40.000000E+0	10.282726E+0	10.282726E+0	76.080157E+0
54	40.000000E+0	10.282726E+0	10.282726E+0	76.080157E+0
55	40.000000E+0	10.282726E+0	10.282726E+0	76.080157E+0
56	40.000000E+0	6.755619E+0	6.755619E+0	74.504990E+0
57	40.000000E+0	6.755619E+0	6.755619E+0	74.504990E+0
58	40.000000E+0	6.755619E+0	6.755619E+0	74.504990E+0
59	40.000000E+0	6.755619E+0	6.755619E+0	74.504990E+0
