vendredi 21 février 2020	10:01:57	Sampling Period : 50  ms		Free control

t	I1	I2	Alpha1	Alpha2	x	y	dotx	doty
0	0.000000E+0	38.121150E+0	38.121150E+0	83.064790E+0
1	0.000000E+0	38.121150E+0	38.121150E+0	83.064790E+0
2	0.000000E+0	38.126844E+0	38.126844E+0	82.912327E+0
3	0.000000E+0	38.126844E+0	38.126844E+0	82.912327E+0
4	0.000000E+0	38.126844E+0	38.126844E+0	82.912327E+0
5	0.000000E+0	38.126844E+0	38.126844E+0	82.912327E+0
6	0.000000E+0	38.125518E+0	38.125518E+0	82.562963E+0
7	0.000000E+0	38.125518E+0	38.125518E+0	82.562963E+0
8	0.000000E+0	38.125518E+0	38.125518E+0	82.562963E+0
9	0.000000E+0	38.125518E+0	38.125518E+0	82.562963E+0
10	0.000000E+0	38.120526E+0	38.120526E+0	82.501176E+0
11	0.000000E+0	38.120526E+0	38.120526E+0	82.501176E+0
12	0.000000E+0	38.120526E+0	38.120526E+0	82.501176E+0
13	7.000000E+0	38.120526E+0	38.120526E+0	82.501176E+0
14	7.000000E+0	38.129711E+0	38.129711E+0	82.456062E+0
15	7.000000E+0	38.129711E+0	38.129711E+0	82.456062E+0
16	7.000000E+0	38.129711E+0	38.129711E+0	82.456062E+0
17	7.000000E+0	38.129711E+0	38.129711E+0	82.456062E+0
18	7.000000E+0	38.240856E+0	38.240856E+0	81.797711E+0
19	7.000000E+0	38.240856E+0	38.240856E+0	81.797711E+0
20	7.000000E+0	38.240856E+0	38.240856E+0	81.797711E+0
21	7.000000E+0	38.240856E+0	38.240856E+0	81.797711E+0
22	7.000000E+0	38.288249E+0	38.288249E+0	82.498239E+0
23	7.000000E+0	38.288249E+0	38.288249E+0	82.498239E+0
24	7.000000E+0	38.288249E+0	38.288249E+0	82.498239E+0
25	7.000000E+0	38.288249E+0	38.288249E+0	82.498239E+0
26	7.000000E+0	38.250370E+0	38.250370E+0	83.388968E+0
27	7.000000E+0	38.250370E+0	38.250370E+0	83.388968E+0
28	7.000000E+0	38.250370E+0	38.250370E+0	83.388968E+0
29	7.000000E+0	38.250370E+0	38.250370E+0	83.388968E+0
30	7.000000E+0	38.301879E+0	38.301879E+0	83.858571E+0
31	7.000000E+0	38.301879E+0	38.301879E+0	83.858571E+0
32	7.000000E+0	38.301879E+0	38.301879E+0	83.858571E+0
33	7.000000E+0	38.301879E+0	38.301879E+0	83.858571E+0
34	7.000000E+0	38.314617E+0	38.314617E+0	84.402206E+0
35	7.000000E+0	38.314617E+0	38.314617E+0	84.402206E+0
36	7.000000E+0	38.314617E+0	38.314617E+0	84.402206E+0
37	7.000000E+0	38.314617E+0	38.314617E+0	84.402206E+0
38	7.000000E+0	38.317594E+0	38.317594E+0	84.608410E+0
39	7.000000E+0	38.317594E+0	38.317594E+0	84.608410E+0
40	7.000000E+0	38.317594E+0	38.317594E+0	84.608410E+0
41	7.000000E+0	38.317594E+0	38.317594E+0	84.608410E+0
42	7.000000E+0	38.315340E+0	38.315340E+0	84.872900E+0
43	7.000000E+0	38.315340E+0	38.315340E+0	84.872900E+0
44	7.000000E+0	38.315340E+0	38.315340E+0	84.872900E+0
45	7.000000E+0	38.315340E+0	38.315340E+0	84.872900E+0
46	7.000000E+0	38.323408E+0	38.323408E+0	84.236551E+0
47	7.000000E+0	38.323408E+0	38.323408E+0	84.236551E+0
48	7.000000E+0	38.323408E+0	38.323408E+0	84.236551E+0
49	7.000000E+0	38.323408E+0	38.323408E+0	84.236551E+0
50	7.000000E+0	38.319862E+0	38.319862E+0	84.201260E+0
51	7.000000E+0	38.319862E+0	38.319862E+0	84.201260E+0
52	7.000000E+0	38.319862E+0	38.319862E+0	84.201260E+0
53	7.000000E+0	38.319862E+0	38.319862E+0	84.201260E+0
54	7.000000E+0	38.314005E+0	38.314005E+0	83.927160E+0
55	7.000000E+0	38.314005E+0	38.314005E+0	83.927160E+0
56	7.000000E+0	38.314005E+0	38.314005E+0	83.927160E+0
57	7.000000E+0	38.314005E+0	38.314005E+0	83.927160E+0
58	7.000000E+0	38.316936E+0	38.316936E+0	83.398899E+0
59	7.000000E+0	38.316936E+0	38.316936E+0	83.398899E+0
