vendredi 21 février 2020	10:28:03	Sampling Period : 50  ms		OL alpha1

t	I1	I2	Alpha1	Alpha2	x	y	dotx	doty
0	0.000000E+0	38.036063E+0	38.036063E+0	83.495530E+0
1	0.000000E+0	38.036063E+0	38.036063E+0	83.495530E+0
2	0.000000E+0	38.036063E+0	38.036063E+0	83.495530E+0
3	0.000000E+0	38.036063E+0	38.036063E+0	83.495530E+0
4	0.000000E+0	38.049523E+0	38.049523E+0	84.001093E+0
5	0.000000E+0	38.049523E+0	38.049523E+0	84.001093E+0
6	0.000000E+0	38.049523E+0	38.049523E+0	84.001093E+0
7	0.000000E+0	38.049523E+0	38.049523E+0	84.001093E+0
8	0.000000E+0	38.046438E+0	38.046438E+0	84.815035E+0
9	0.000000E+0	38.046438E+0	38.046438E+0	84.815035E+0
10	0.000000E+0	38.046438E+0	38.046438E+0	84.815035E+0
11	0.000000E+0	38.046438E+0	38.046438E+0	84.815035E+0
12	0.000000E+0	38.047236E+0	38.047236E+0	85.058058E+0
13	0.000000E+0	38.047236E+0	38.047236E+0	85.058058E+0
14	27.000000E+0	38.047236E+0	38.047236E+0	85.058058E+0
15	27.000000E+0	38.047236E+0	38.047236E+0	85.058058E+0
16	27.000000E+0	38.042893E+0	38.042893E+0	85.061382E+0
17	27.000000E+0	38.042893E+0	38.042893E+0	85.061382E+0
18	27.000000E+0	38.042893E+0	38.042893E+0	85.061382E+0
19	27.000000E+0	38.042893E+0	38.042893E+0	85.061382E+0
20	27.000000E+0	38.771057E+0	38.771057E+0	76.488774E+0
21	27.000000E+0	38.771057E+0	38.771057E+0	76.488774E+0
22	27.000000E+0	38.771057E+0	38.771057E+0	76.488774E+0
23	27.000000E+0	38.771057E+0	38.771057E+0	76.488774E+0
24	27.000000E+0	38.541797E+0	38.541797E+0	80.167734E+0
25	27.000000E+0	38.541797E+0	38.541797E+0	80.167734E+0
26	27.000000E+0	38.541797E+0	38.541797E+0	80.167734E+0
27	27.000000E+0	38.541797E+0	38.541797E+0	80.167734E+0
28	27.000000E+0	36.800153E+0	36.800153E+0	83.550865E+0
29	27.000000E+0	36.800153E+0	36.800153E+0	83.550865E+0
30	27.000000E+0	36.800153E+0	36.800153E+0	83.550865E+0
31	27.000000E+0	36.800153E+0	36.800153E+0	83.550865E+0
32	27.000000E+0	33.866079E+0	33.866079E+0	84.146821E+0
33	27.000000E+0	33.866079E+0	33.866079E+0	84.146821E+0
34	27.000000E+0	33.866079E+0	33.866079E+0	84.146821E+0
35	27.000000E+0	33.866079E+0	33.866079E+0	84.146821E+0
36	27.000000E+0	30.706917E+0	30.706917E+0	84.300906E+0
37	27.000000E+0	30.706917E+0	30.706917E+0	84.300906E+0
38	27.000000E+0	30.706917E+0	30.706917E+0	84.300906E+0
39	27.000000E+0	30.706917E+0	30.706917E+0	84.300906E+0
40	27.000000E+0	27.406860E+0	27.406860E+0	85.568376E+0
41	27.000000E+0	27.406860E+0	27.406860E+0	85.568376E+0
42	27.000000E+0	27.406860E+0	27.406860E+0	85.568376E+0
43	27.000000E+0	27.406860E+0	27.406860E+0	85.568376E+0
44	27.000000E+0	24.305645E+0	24.305645E+0	84.063481E+0
45	27.000000E+0	24.305645E+0	24.305645E+0	84.063481E+0
46	27.000000E+0	24.305645E+0	24.305645E+0	84.063481E+0
47	27.000000E+0	24.305645E+0	24.305645E+0	84.063481E+0
48	27.000000E+0	21.156114E+0	21.156114E+0	84.785519E+0
49	27.000000E+0	21.156114E+0	21.156114E+0	84.785519E+0
50	27.000000E+0	21.156114E+0	21.156114E+0	84.785519E+0
51	27.000000E+0	21.156114E+0	21.156114E+0	84.785519E+0
52	27.000000E+0	17.960378E+0	17.960378E+0	87.481263E+0
53	27.000000E+0	17.960378E+0	17.960378E+0	87.481263E+0
54	27.000000E+0	17.960378E+0	17.960378E+0	87.481263E+0
55	27.000000E+0	17.960378E+0	17.960378E+0	87.481263E+0
56	27.000000E+0	14.964204E+0	14.964204E+0	86.360214E+0
57	27.000000E+0	14.964204E+0	14.964204E+0	86.360214E+0
58	27.000000E+0	14.964204E+0	14.964204E+0	86.360214E+0
59	27.000000E+0	14.964204E+0	14.964204E+0	86.360214E+0
