vendredi 21 février 2020	10:00:50	Sampling Period : 50  ms		OL alpha1

t	I1	I2	Alpha1	Alpha2	x	y	dotx	doty
0	0.000000E+0	38.160148E+0	38.160148E+0	84.195286E+0
1	0.000000E+0	38.160148E+0	38.160148E+0	84.195286E+0
2	0.000000E+0	38.160148E+0	38.160148E+0	84.195286E+0
3	0.000000E+0	38.162531E+0	38.162531E+0	83.624276E+0
4	0.000000E+0	38.162531E+0	38.162531E+0	83.624276E+0
5	0.000000E+0	38.162531E+0	38.162531E+0	83.624276E+0
6	0.000000E+0	38.162531E+0	38.162531E+0	83.624276E+0
7	0.000000E+0	38.152711E+0	38.152711E+0	83.538415E+0
8	0.000000E+0	38.152711E+0	38.152711E+0	83.538415E+0
9	0.000000E+0	38.152711E+0	38.152711E+0	83.538415E+0
10	0.000000E+0	38.152711E+0	38.152711E+0	83.538415E+0
11	0.000000E+0	38.158630E+0	38.158630E+0	83.386405E+0
12	0.000000E+0	38.158630E+0	38.158630E+0	83.386405E+0
13	4.500000E+0	38.158630E+0	38.158630E+0	83.386405E+0
14	4.500000E+0	38.158630E+0	38.158630E+0	83.386405E+0
15	4.500000E+0	38.153938E+0	38.153938E+0	82.840689E+0
16	4.500000E+0	38.153938E+0	38.153938E+0	82.840689E+0
17	4.500000E+0	38.153938E+0	38.153938E+0	82.840689E+0
18	4.500000E+0	38.153938E+0	38.153938E+0	82.840689E+0
19	4.500000E+0	38.161900E+0	38.161900E+0	82.483480E+0
20	4.500000E+0	38.161900E+0	38.161900E+0	82.483480E+0
21	4.500000E+0	38.161900E+0	38.161900E+0	82.483480E+0
22	4.500000E+0	38.161900E+0	38.161900E+0	82.483480E+0
23	4.500000E+0	38.190159E+0	38.190159E+0	82.678683E+0
24	4.500000E+0	38.190159E+0	38.190159E+0	82.678683E+0
25	4.500000E+0	38.190159E+0	38.190159E+0	82.678683E+0
26	4.500000E+0	38.190159E+0	38.190159E+0	82.678683E+0
27	4.500000E+0	38.193506E+0	38.193506E+0	82.190552E+0
28	4.500000E+0	38.193506E+0	38.193506E+0	82.190552E+0
29	4.500000E+0	38.193506E+0	38.193506E+0	82.190552E+0
30	4.500000E+0	38.193506E+0	38.193506E+0	82.190552E+0
31	4.500000E+0	38.201659E+0	38.201659E+0	82.477201E+0
32	4.500000E+0	38.201659E+0	38.201659E+0	82.477201E+0
33	4.500000E+0	38.201659E+0	38.201659E+0	82.477201E+0
34	4.500000E+0	38.201659E+0	38.201659E+0	82.477201E+0
35	4.500000E+0	38.181868E+0	38.181868E+0	82.660038E+0
36	4.500000E+0	38.181868E+0	38.181868E+0	82.660038E+0
37	4.500000E+0	38.181868E+0	38.181868E+0	82.660038E+0
38	4.500000E+0	38.181868E+0	38.181868E+0	82.660038E+0
39	4.500000E+0	38.202174E+0	38.202174E+0	82.996192E+0
40	4.500000E+0	38.202174E+0	38.202174E+0	82.996192E+0
41	4.500000E+0	38.202174E+0	38.202174E+0	82.996192E+0
42	4.500000E+0	38.202174E+0	38.202174E+0	82.996192E+0
43	4.500000E+0	38.208495E+0	38.208495E+0	83.384591E+0
44	4.500000E+0	38.208495E+0	38.208495E+0	83.384591E+0
45	4.500000E+0	38.208495E+0	38.208495E+0	83.384591E+0
46	4.500000E+0	38.208495E+0	38.208495E+0	83.384591E+0
47	4.500000E+0	38.226606E+0	38.226606E+0	83.992157E+0
48	4.500000E+0	38.226606E+0	38.226606E+0	83.992157E+0
49	4.500000E+0	38.226606E+0	38.226606E+0	83.992157E+0
50	4.500000E+0	38.226606E+0	38.226606E+0	83.992157E+0
51	4.500000E+0	38.239956E+0	38.239956E+0	84.077995E+0
52	4.500000E+0	38.239956E+0	38.239956E+0	84.077995E+0
53	4.500000E+0	38.239956E+0	38.239956E+0	84.077995E+0
54	4.500000E+0	38.239956E+0	38.239956E+0	84.077995E+0
55	4.500000E+0	38.237035E+0	38.237035E+0	84.519672E+0
56	4.500000E+0	38.237035E+0	38.237035E+0	84.519672E+0
57	4.500000E+0	38.237035E+0	38.237035E+0	84.519672E+0
58	4.500000E+0	38.237035E+0	38.237035E+0	84.519672E+0
59	4.500000E+0	38.240848E+0	38.240848E+0	84.491949E+0
