lundi 9 mars 2020	16:57:00	Sampling Period : 50  ms		B&B alpha1

t	I1	I2	Alpha1	Alpha2	x	y	dotx	doty
0	0.000000E+0	36.227881E+0	36.227881E+0	83.728046E+0
1	0.000000E+0	36.227881E+0	36.227881E+0	83.728046E+0
2	0.000000E+0	36.227881E+0	36.227881E+0	83.728046E+0
3	0.000000E+0	36.227881E+0	36.227881E+0	83.728046E+0
4	0.000000E+0	36.231812E+0	36.231812E+0	83.840231E+0
5	0.000000E+0	36.231812E+0	36.231812E+0	83.840231E+0
6	0.000000E+0	36.231812E+0	36.231812E+0	83.840231E+0
7	0.000000E+0	36.231812E+0	36.231812E+0	83.840231E+0
8	0.000000E+0	36.240166E+0	36.240166E+0	84.421704E+0
9	0.000000E+0	36.240166E+0	36.240166E+0	84.421704E+0
10	0.000000E+0	36.240166E+0	36.240166E+0	84.421704E+0
11	0.000000E+0	36.240166E+0	36.240166E+0	84.421704E+0
12	40.000000E+0	36.242283E+0	36.242283E+0	85.250638E+0
13	40.000000E+0	36.242283E+0	36.242283E+0	85.250638E+0
14	40.000000E+0	36.242283E+0	36.242283E+0	85.250638E+0
15	40.000000E+0	36.242283E+0	36.242283E+0	85.250638E+0
16	40.000000E+0	36.248815E+0	36.248815E+0	85.703721E+0
17	40.000000E+0	36.248815E+0	36.248815E+0	85.703721E+0
18	40.000000E+0	36.248815E+0	36.248815E+0	85.703721E+0
19	40.000000E+0	36.248815E+0	36.248815E+0	85.703721E+0
20	40.000000E+0	38.113228E+0	38.113228E+0	87.323511E+0
21	40.000000E+0	38.113228E+0	38.113228E+0	87.323511E+0
22	40.000000E+0	38.113228E+0	38.113228E+0	87.323511E+0
23	40.000000E+0	38.113228E+0	38.113228E+0	87.323511E+0
24	40.000000E+0	36.446861E+0	36.446861E+0	83.748325E+0
25	40.000000E+0	36.446861E+0	36.446861E+0	83.748325E+0
26	40.000000E+0	36.446861E+0	36.446861E+0	83.748325E+0
27	40.000000E+0	36.446861E+0	36.446861E+0	83.748325E+0
28	40.000000E+0	32.734087E+0	32.734087E+0	83.320918E+0
29	40.000000E+0	32.734087E+0	32.734087E+0	83.320918E+0
30	40.000000E+0	32.734087E+0	32.734087E+0	83.320918E+0
31	40.000000E+0	32.734087E+0	32.734087E+0	83.320918E+0
32	40.000000E+0	28.507945E+0	28.507945E+0	82.665926E+0
33	40.000000E+0	28.507945E+0	28.507945E+0	82.665926E+0
34	40.000000E+0	28.507945E+0	28.507945E+0	82.665926E+0
35	40.000000E+0	28.507945E+0	28.507945E+0	82.665926E+0
36	40.000000E+0	24.391129E+0	24.391129E+0	82.308549E+0
37	40.000000E+0	24.391129E+0	24.391129E+0	82.308549E+0
38	40.000000E+0	24.391129E+0	24.391129E+0	82.308549E+0
39	40.000000E+0	24.391129E+0	24.391129E+0	82.308549E+0
40	40.000000E+0	20.305272E+0	20.305272E+0	82.040230E+0
41	40.000000E+0	20.305272E+0	20.305272E+0	82.040230E+0
42	40.000000E+0	20.305272E+0	20.305272E+0	82.040230E+0
43	40.000000E+0	20.305272E+0	20.305272E+0	82.040230E+0
44	40.000000E+0	16.349284E+0	16.349284E+0	82.640277E+0
45	40.000000E+0	16.349284E+0	16.349284E+0	82.640277E+0
46	40.000000E+0	16.349284E+0	16.349284E+0	82.640277E+0
47	40.000000E+0	16.349284E+0	16.349284E+0	82.640277E+0
48	40.000000E+0	12.539361E+0	12.539361E+0	84.084864E+0
49	40.000000E+0	12.539361E+0	12.539361E+0	84.084864E+0
50	40.000000E+0	12.539361E+0	12.539361E+0	84.084864E+0
51	40.000000E+0	12.539361E+0	12.539361E+0	84.084864E+0
52	40.000000E+0	8.666346E+0	8.666346E+0	82.727159E+0
53	40.000000E+0	8.666346E+0	8.666346E+0	82.727159E+0
54	40.000000E+0	8.666346E+0	8.666346E+0	82.727159E+0
55	40.000000E+0	8.666346E+0	8.666346E+0	82.727159E+0
56	40.000000E+0	4.938916E+0	4.938916E+0	78.798501E+0
57	40.000000E+0	4.938916E+0	4.938916E+0	78.798501E+0
58	40.000000E+0	4.938916E+0	4.938916E+0	78.798501E+0
59	40.000000E+0	4.938916E+0	4.938916E+0	78.798501E+0
