lundi 9 mars 2020	17:01:20	Sampling Period : 50  ms		B&B alpha1

t	I1	I2	Alpha1	Alpha2	x	y	dotx	doty
0	0.000000E+0	37.158391E+0	37.158391E+0	83.677916E+0
1	0.000000E+0	37.158391E+0	37.158391E+0	83.677916E+0
2	0.000000E+0	37.158391E+0	37.158391E+0	83.677916E+0
3	0.000000E+0	37.172417E+0	37.172417E+0	83.984174E+0
4	0.000000E+0	37.172417E+0	37.172417E+0	83.984174E+0
5	0.000000E+0	37.172417E+0	37.172417E+0	83.984174E+0
6	0.000000E+0	37.172417E+0	37.172417E+0	83.984174E+0
7	0.000000E+0	37.172417E+0	37.172417E+0	83.984174E+0
8	0.000000E+0	37.167416E+0	37.167416E+0	84.086495E+0
9	0.000000E+0	37.167416E+0	37.167416E+0	84.086495E+0
10	0.000000E+0	37.167416E+0	37.167416E+0	84.086495E+0
11	0.000000E+0	37.167416E+0	37.167416E+0	84.086495E+0
12	0.000000E+0	37.171894E+0	37.171894E+0	84.848022E+0
13	0.000000E+0	37.171894E+0	37.171894E+0	84.848022E+0
14	0.000000E+0	37.171894E+0	37.171894E+0	84.848022E+0
15	0.000000E+0	37.171894E+0	37.171894E+0	84.848022E+0
16	0.000000E+0	37.173567E+0	37.173567E+0	85.369165E+0
17	0.000000E+0	37.173567E+0	37.173567E+0	85.369165E+0
18	0.000000E+0	37.173567E+0	37.173567E+0	85.369165E+0
19	0.000000E+0	37.173567E+0	37.173567E+0	85.369165E+0
20	0.000000E+0	37.162846E+0	37.162846E+0	85.640520E+0
21	0.000000E+0	37.162846E+0	37.162846E+0	85.640520E+0
22	40.000000E+0	37.162846E+0	37.162846E+0	85.640520E+0
23	40.000000E+0	37.162846E+0	37.162846E+0	85.640520E+0
24	40.000000E+0	37.167735E+0	37.167735E+0	85.603410E+0
25	40.000000E+0	37.167735E+0	37.167735E+0	85.603410E+0
26	40.000000E+0	37.167735E+0	37.167735E+0	85.603410E+0
27	40.000000E+0	37.972455E+0	37.972455E+0	83.678067E+0
28	40.000000E+0	37.972455E+0	37.972455E+0	83.678067E+0
29	40.000000E+0	37.972455E+0	37.972455E+0	83.678067E+0
30	40.000000E+0	37.972455E+0	37.972455E+0	83.678067E+0
31	40.000000E+0	37.972455E+0	37.972455E+0	83.678067E+0
32	40.000000E+0	38.522034E+0	38.522034E+0	83.474820E+0
33	40.000000E+0	38.522034E+0	38.522034E+0	83.474820E+0
34	40.000000E+0	38.522034E+0	38.522034E+0	83.474820E+0
35	40.000000E+0	38.522034E+0	38.522034E+0	83.474820E+0
36	40.000000E+0	36.255669E+0	36.255669E+0	89.363230E+0
37	40.000000E+0	36.255669E+0	36.255669E+0	89.363230E+0
38	40.000000E+0	36.255669E+0	36.255669E+0	89.363230E+0
39	40.000000E+0	36.255669E+0	36.255669E+0	89.363230E+0
40	40.000000E+0	32.237643E+0	32.237643E+0	90.158082E+0
41	40.000000E+0	32.237643E+0	32.237643E+0	90.158082E+0
42	40.000000E+0	32.237643E+0	32.237643E+0	90.158082E+0
43	40.000000E+0	32.237643E+0	32.237643E+0	90.158082E+0
44	40.000000E+0	28.193595E+0	28.193595E+0	92.126730E+0
45	40.000000E+0	28.193595E+0	28.193595E+0	92.126730E+0
46	40.000000E+0	28.193595E+0	28.193595E+0	92.126730E+0
47	40.000000E+0	24.108946E+0	24.108946E+0	88.778328E+0
48	40.000000E+0	24.108946E+0	24.108946E+0	88.778328E+0
49	40.000000E+0	24.108946E+0	24.108946E+0	88.778328E+0
50	40.000000E+0	24.108946E+0	24.108946E+0	88.778328E+0
51	40.000000E+0	24.108946E+0	24.108946E+0	88.778328E+0
52	40.000000E+0	20.044760E+0	20.044760E+0	93.109841E+0
53	40.000000E+0	20.044760E+0	20.044760E+0	93.109841E+0
54	40.000000E+0	20.044760E+0	20.044760E+0	93.109841E+0
55	40.000000E+0	20.044760E+0	20.044760E+0	93.109841E+0
56	40.000000E+0	16.403757E+0	16.403757E+0	93.239548E+0
57	40.000000E+0	16.403757E+0	16.403757E+0	93.239548E+0
58	40.000000E+0	16.403757E+0	16.403757E+0	93.239548E+0
59	40.000000E+0	16.403757E+0	16.403757E+0	93.239548E+0
