vendredi 21 février 2020	09:57:58	Sampling Period : 50  ms		OL alpha1

t	I1	I2	Alpha1	Alpha2	x	y	dotx	doty
0	0.000000E+0	38.062132E+0	38.062132E+0	82.901560E+0
1	0.000000E+0	38.062132E+0	38.062132E+0	82.901560E+0
2	0.000000E+0	38.062132E+0	38.062132E+0	82.901560E+0
3	0.000000E+0	38.062132E+0	38.062132E+0	82.901560E+0
4	0.000000E+0	38.069556E+0	38.069556E+0	83.879830E+0
5	0.000000E+0	38.069556E+0	38.069556E+0	83.879830E+0
6	0.000000E+0	38.069556E+0	38.069556E+0	83.879830E+0
7	0.000000E+0	38.069556E+0	38.069556E+0	83.879830E+0
8	0.000000E+0	38.065338E+0	38.065338E+0	84.418775E+0
9	0.000000E+0	38.065338E+0	38.065338E+0	84.418775E+0
10	0.000000E+0	38.065338E+0	38.065338E+0	84.418775E+0
11	0.000000E+0	38.065338E+0	38.065338E+0	84.418775E+0
12	0.000000E+0	38.068287E+0	38.068287E+0	85.217221E+0
13	0.000000E+0	38.068287E+0	38.068287E+0	85.217221E+0
14	0.000000E+0	38.068287E+0	38.068287E+0	85.217221E+0
15	157.466810E-3	38.068287E+0	38.068287E+0	85.217221E+0
16	314.894570E-3	38.069228E+0	38.069228E+0	85.280608E+0
17	472.244240E-3	38.069228E+0	38.069228E+0	85.280608E+0
18	629.476810E-3	38.069228E+0	38.069228E+0	85.280608E+0
19	786.553290E-3	38.069228E+0	38.069228E+0	85.280608E+0
20	943.434720E-3	38.060463E+0	38.060463E+0	84.789459E+0
21	1.100082E+0	38.060463E+0	38.060463E+0	84.789459E+0
22	1.256457E+0	38.060463E+0	38.060463E+0	84.789459E+0
23	1.412520E+0	38.060463E+0	38.060463E+0	84.789459E+0
24	1.568233E+0	38.063534E+0	38.063534E+0	84.468506E+0
25	1.723557E+0	38.063534E+0	38.063534E+0	84.468506E+0
26	1.878453E+0	38.063534E+0	38.063534E+0	84.468506E+0
27	2.032884E+0	38.063534E+0	38.063534E+0	84.468506E+0
28	2.186811E+0	38.059853E+0	38.059853E+0	83.917224E+0
29	2.340195E+0	38.059853E+0	38.059853E+0	83.917224E+0
30	2.492999E+0	38.059853E+0	38.059853E+0	83.917224E+0
31	2.645185E+0	38.059853E+0	38.059853E+0	83.917224E+0
32	2.796715E+0	38.061240E+0	38.061240E+0	83.053236E+0
33	2.947552E+0	38.061240E+0	38.061240E+0	83.053236E+0
34	3.097657E+0	38.061240E+0	38.061240E+0	83.053236E+0
35	3.246995E+0	38.061240E+0	38.061240E+0	83.053236E+0
36	3.395527E+0	38.051339E+0	38.051339E+0	82.942580E+0
37	3.543217E+0	38.051339E+0	38.051339E+0	82.942580E+0
38	3.690029E+0	38.051339E+0	38.051339E+0	82.942580E+0
39	3.835925E+0	38.051339E+0	38.051339E+0	82.942580E+0
40	3.980871E+0	38.062962E+0	38.062962E+0	82.966601E+0
41	4.124829E+0	38.062962E+0	38.062962E+0	82.966601E+0
42	4.267764E+0	38.062962E+0	38.062962E+0	82.966601E+0
43	4.409641E+0	38.062962E+0	38.062962E+0	82.966601E+0
44	4.550425E+0	38.100376E+0	38.100376E+0	83.167928E+0
45	4.690080E+0	38.100376E+0	38.100376E+0	83.167928E+0
46	4.828572E+0	38.100376E+0	38.100376E+0	83.167928E+0
47	4.965867E+0	38.100376E+0	38.100376E+0	83.167928E+0
48	5.101931E+0	38.146778E+0	38.146778E+0	84.088394E+0
49	5.236729E+0	38.146778E+0	38.146778E+0	84.088394E+0
50	5.370229E+0	38.146778E+0	38.146778E+0	84.088394E+0
51	5.502397E+0	38.146778E+0	38.146778E+0	84.088394E+0
52	5.633201E+0	38.196532E+0	38.196532E+0	84.841957E+0
53	5.762607E+0	38.196532E+0	38.196532E+0	84.841957E+0
54	5.890585E+0	38.196532E+0	38.196532E+0	84.841957E+0
55	6.017102E+0	38.196532E+0	38.196532E+0	84.841957E+0
56	6.142127E+0	38.206975E+0	38.206975E+0	85.081484E+0
57	6.265629E+0	38.206975E+0	38.206975E+0	85.081484E+0
58	6.387577E+0	38.206975E+0	38.206975E+0	85.081484E+0
59	6.507941E+0	38.206975E+0	38.206975E+0	85.081484E+0
