mardi 25 février 2020	12:14:13	Sampling Period : 50  ms		OL alpha1

t	I1	I2	Alpha1	Alpha2	x	y	dotx	doty
0	0.000000E+0	37.001384E+0	37.001384E+0	88.164441E+0
1	0.000000E+0	37.001384E+0	37.001384E+0	88.164441E+0
2	0.000000E+0	37.001384E+0	37.001384E+0	88.164441E+0
3	0.000000E+0	37.001384E+0	37.001384E+0	88.164441E+0
4	0.000000E+0	37.094072E+0	37.094072E+0	88.932989E+0
5	0.000000E+0	37.094072E+0	37.094072E+0	88.932989E+0
6	30.000000E+0	37.094072E+0	37.094072E+0	88.932989E+0
7	30.000000E+0	37.094072E+0	37.094072E+0	88.932989E+0
8	30.000000E+0	37.046452E+0	37.046452E+0	88.101222E+0
9	30.000000E+0	37.046452E+0	37.046452E+0	88.101222E+0
10	30.000000E+0	37.046452E+0	37.046452E+0	88.101222E+0
11	30.000000E+0	37.046452E+0	37.046452E+0	88.101222E+0
12	30.000000E+0	38.158037E+0	38.158037E+0	86.564753E+0
13	30.000000E+0	38.158037E+0	38.158037E+0	86.564753E+0
14	30.000000E+0	38.158037E+0	38.158037E+0	86.564753E+0
15	30.000000E+0	38.158037E+0	38.158037E+0	86.564753E+0
16	30.000000E+0	37.839506E+0	37.839506E+0	81.660778E+0
17	30.000000E+0	37.839506E+0	37.839506E+0	81.660778E+0
18	30.000000E+0	37.839506E+0	37.839506E+0	81.660778E+0
19	30.000000E+0	37.839506E+0	37.839506E+0	81.660778E+0
20	30.000000E+0	35.249366E+0	35.249366E+0	81.988311E+0
21	30.000000E+0	35.249366E+0	35.249366E+0	81.988311E+0
22	30.000000E+0	35.249366E+0	35.249366E+0	81.988311E+0
23	30.000000E+0	35.249366E+0	35.249366E+0	81.988311E+0
24	30.000000E+0	32.039521E+0	32.039521E+0	85.953061E+0
25	30.000000E+0	32.039521E+0	32.039521E+0	85.953061E+0
26	30.000000E+0	32.039521E+0	32.039521E+0	85.953061E+0
27	30.000000E+0	32.039521E+0	32.039521E+0	85.953061E+0
28	30.000000E+0	28.632453E+0	28.632453E+0	85.506001E+0
29	30.000000E+0	28.632453E+0	28.632453E+0	85.506001E+0
30	30.000000E+0	28.632453E+0	28.632453E+0	85.506001E+0
31	30.000000E+0	28.632453E+0	28.632453E+0	85.506001E+0
32	30.000000E+0	25.281451E+0	25.281451E+0	84.877677E+0
33	30.000000E+0	25.281451E+0	25.281451E+0	84.877677E+0
34	30.000000E+0	25.281451E+0	25.281451E+0	84.877677E+0
35	30.000000E+0	25.281451E+0	25.281451E+0	84.877677E+0
36	30.000000E+0	21.945059E+0	21.945059E+0	87.141209E+0
37	30.000000E+0	21.945059E+0	21.945059E+0	87.141209E+0
38	30.000000E+0	21.945059E+0	21.945059E+0	87.141209E+0
39	30.000000E+0	21.945059E+0	21.945059E+0	87.141209E+0
40	30.000000E+0	18.584798E+0	18.584798E+0	87.857778E+0
41	30.000000E+0	18.584798E+0	18.584798E+0	87.857778E+0
42	30.000000E+0	18.584798E+0	18.584798E+0	87.857778E+0
43	30.000000E+0	18.584798E+0	18.584798E+0	87.857778E+0
44	30.000000E+0	15.348017E+0	15.348017E+0	89.224512E+0
45	30.000000E+0	15.348017E+0	15.348017E+0	89.224512E+0
46	7.000000E+0	15.348017E+0	15.348017E+0	89.224512E+0
47	7.000000E+0	15.348017E+0	15.348017E+0	89.224512E+0
48	7.000000E+0	12.244126E+0	12.244126E+0	90.680810E+0
49	7.000000E+0	12.244126E+0	12.244126E+0	90.680810E+0
50	7.000000E+0	12.244126E+0	12.244126E+0	90.680810E+0
51	7.000000E+0	12.244126E+0	12.244126E+0	90.680810E+0
52	7.000000E+0	9.502452E+0	9.502452E+0	90.160341E+0
53	7.000000E+0	9.502452E+0	9.502452E+0	90.160341E+0
54	7.000000E+0	9.502452E+0	9.502452E+0	90.160341E+0
55	7.000000E+0	9.502452E+0	9.502452E+0	90.160341E+0
56	7.000000E+0	7.821978E+0	7.821978E+0	89.851679E+0
57	7.000000E+0	7.821978E+0	7.821978E+0	89.851679E+0
58	7.000000E+0	7.821978E+0	7.821978E+0	89.851679E+0
59	7.000000E+0	7.821978E+0	7.821978E+0	89.851679E+0
