mardi 10 mars 2020	09:01:37	Sampling Period : 50  ms		OL alpha1

t	I1	I2	Alpha1	Alpha2	x	y	dotx	doty
0	0.000000E+0	37.120548E+0	37.120548E+0	82.204067E+0
1	0.000000E+0	37.120548E+0	37.120548E+0	82.204067E+0
2	0.000000E+0	37.120548E+0	37.120548E+0	82.204067E+0
3	0.000000E+0	37.120548E+0	37.120548E+0	82.204067E+0
4	0.000000E+0	37.131936E+0	37.131936E+0	82.470531E+0
5	0.000000E+0	37.131936E+0	37.131936E+0	82.470531E+0
6	0.000000E+0	37.131936E+0	37.131936E+0	82.470531E+0
7	0.000000E+0	37.131936E+0	37.131936E+0	82.470531E+0
8	0.000000E+0	37.139927E+0	37.139927E+0	82.789576E+0
9	0.000000E+0	37.139927E+0	37.139927E+0	82.789576E+0
10	0.000000E+0	37.139927E+0	37.139927E+0	82.789576E+0
11	0.000000E+0	37.139927E+0	37.139927E+0	82.789576E+0
12	0.000000E+0	37.129396E+0	37.129396E+0	83.740936E+0
13	15.000000E+0	37.129396E+0	37.129396E+0	83.740936E+0
14	15.000000E+0	37.129396E+0	37.129396E+0	83.740936E+0
15	15.000000E+0	37.129396E+0	37.129396E+0	83.740936E+0
16	15.000000E+0	37.142351E+0	37.142351E+0	84.527569E+0
17	15.000000E+0	37.142351E+0	37.142351E+0	84.527569E+0
18	15.000000E+0	37.142351E+0	37.142351E+0	84.527569E+0
19	15.000000E+0	37.142351E+0	37.142351E+0	84.527569E+0
20	15.000000E+0	38.150933E+0	38.150933E+0	84.795035E+0
21	15.000000E+0	38.150933E+0	38.150933E+0	84.795035E+0
22	15.000000E+0	38.150933E+0	38.150933E+0	84.795035E+0
23	15.000000E+0	38.150933E+0	38.150933E+0	84.795035E+0
24	15.000000E+0	38.055624E+0	38.055624E+0	83.884832E+0
25	15.000000E+0	38.055624E+0	38.055624E+0	83.884832E+0
26	15.000000E+0	38.055624E+0	38.055624E+0	83.884832E+0
27	15.000000E+0	38.055624E+0	38.055624E+0	83.884832E+0
28	15.000000E+0	37.237832E+0	37.237832E+0	86.295444E+0
29	15.000000E+0	37.237832E+0	37.237832E+0	86.295444E+0
30	15.000000E+0	37.237832E+0	37.237832E+0	86.295444E+0
31	15.000000E+0	37.237832E+0	37.237832E+0	86.295444E+0
32	15.000000E+0	35.725302E+0	35.725302E+0	85.275561E+0
33	15.000000E+0	35.725302E+0	35.725302E+0	85.275561E+0
34	15.000000E+0	35.725302E+0	35.725302E+0	85.275561E+0
35	15.000000E+0	35.725302E+0	35.725302E+0	85.275561E+0
36	15.000000E+0	34.126561E+0	34.126561E+0	86.209183E+0
37	15.000000E+0	34.126561E+0	34.126561E+0	86.209183E+0
38	15.000000E+0	34.126561E+0	34.126561E+0	86.209183E+0
39	15.000000E+0	34.126561E+0	34.126561E+0	86.209183E+0
40	15.000000E+0	32.419037E+0	32.419037E+0	85.473106E+0
41	15.000000E+0	32.419037E+0	32.419037E+0	85.473106E+0
42	15.000000E+0	32.419037E+0	32.419037E+0	85.473106E+0
43	15.000000E+0	32.419037E+0	32.419037E+0	85.473106E+0
44	15.000000E+0	30.343346E+0	30.343346E+0	85.467716E+0
45	15.000000E+0	30.343346E+0	30.343346E+0	85.467716E+0
46	15.000000E+0	30.343346E+0	30.343346E+0	85.467716E+0
47	15.000000E+0	30.343346E+0	30.343346E+0	85.467716E+0
48	15.000000E+0	28.391445E+0	28.391445E+0	79.063902E+0
49	15.000000E+0	28.391445E+0	28.391445E+0	79.063902E+0
50	15.000000E+0	28.391445E+0	28.391445E+0	79.063902E+0
51	15.000000E+0	28.391445E+0	28.391445E+0	79.063902E+0
52	15.000000E+0	26.652946E+0	26.652946E+0	79.133318E+0
53	15.000000E+0	26.652946E+0	26.652946E+0	79.133318E+0
54	15.000000E+0	26.652946E+0	26.652946E+0	79.133318E+0
55	15.000000E+0	26.652946E+0	26.652946E+0	79.133318E+0
56	15.000000E+0	24.989625E+0	24.989625E+0	80.320778E+0
57	15.000000E+0	24.989625E+0	24.989625E+0	80.320778E+0
58	15.000000E+0	24.989625E+0	24.989625E+0	80.320778E+0
59	15.000000E+0	24.989625E+0	24.989625E+0	80.320778E+0
