mardi 10 mars 2020	10:05:16	Sampling Period : 50  ms		B&B alpha1

t	I1	I2	Alpha1	Alpha2	x	y	dotx	doty
0	0.000000E+0	37.185319E+0	37.185319E+0	84.739982E+0
1	0.000000E+0	37.177301E+0	37.177301E+0	84.923230E+0
2	0.000000E+0	37.177301E+0	37.177301E+0	84.923230E+0
3	0.000000E+0	37.177301E+0	37.177301E+0	84.923230E+0
4	0.000000E+0	37.177301E+0	37.177301E+0	84.923230E+0
5	0.000000E+0	37.182629E+0	37.182629E+0	85.107127E+0
6	0.000000E+0	37.182629E+0	37.182629E+0	85.107127E+0
7	0.000000E+0	37.182629E+0	37.182629E+0	85.107127E+0
8	0.000000E+0	37.182629E+0	37.182629E+0	85.107127E+0
9	0.000000E+0	37.182402E+0	37.182402E+0	85.260352E+0
10	0.000000E+0	37.182402E+0	37.182402E+0	85.260352E+0
11	0.000000E+0	37.182402E+0	37.182402E+0	85.260352E+0
12	0.000000E+0	37.182402E+0	37.182402E+0	85.260352E+0
13	0.000000E+0	37.181740E+0	37.181740E+0	85.157409E+0
14	0.000000E+0	37.181740E+0	37.181740E+0	85.157409E+0
15	0.000000E+0	37.181740E+0	37.181740E+0	85.157409E+0
16	0.000000E+0	37.181740E+0	37.181740E+0	85.157409E+0
17	0.000000E+0	37.183221E+0	37.183221E+0	84.908008E+0
18	0.000000E+0	37.183221E+0	37.183221E+0	84.908008E+0
19	0.000000E+0	37.183221E+0	37.183221E+0	84.908008E+0
20	0.000000E+0	37.183221E+0	37.183221E+0	84.908008E+0
21	0.000000E+0	37.176717E+0	37.176717E+0	84.878070E+0
22	0.000000E+0	37.176717E+0	37.176717E+0	84.878070E+0
23	0.000000E+0	37.176717E+0	37.176717E+0	84.878070E+0
24	0.000000E+0	37.176717E+0	37.176717E+0	84.878070E+0
25	0.000000E+0	37.177201E+0	37.177201E+0	84.418477E+0
26	0.000000E+0	37.177201E+0	37.177201E+0	84.418477E+0
27	0.000000E+0	37.177201E+0	37.177201E+0	84.418477E+0
28	0.000000E+0	37.177201E+0	37.177201E+0	84.418477E+0
29	0.000000E+0	37.178434E+0	37.178434E+0	84.257873E+0
30	0.000000E+0	37.178434E+0	37.178434E+0	84.257873E+0
31	0.000000E+0	37.178434E+0	37.178434E+0	84.257873E+0
32	0.000000E+0	37.178434E+0	37.178434E+0	84.257873E+0
33	0.000000E+0	37.181087E+0	37.181087E+0	83.555163E+0
34	0.000000E+0	37.181087E+0	37.181087E+0	83.555163E+0
35	0.000000E+0	37.181087E+0	37.181087E+0	83.555163E+0
36	0.000000E+0	37.181087E+0	37.181087E+0	83.555163E+0
37	0.000000E+0	37.181113E+0	37.181113E+0	83.890301E+0
38	0.000000E+0	37.181113E+0	37.181113E+0	83.890301E+0
39	0.000000E+0	37.181113E+0	37.181113E+0	83.890301E+0
40	0.000000E+0	37.181113E+0	37.181113E+0	83.890301E+0
41	0.000000E+0	37.179749E+0	37.179749E+0	83.866309E+0
42	0.000000E+0	37.179749E+0	37.179749E+0	83.866309E+0
43	0.000000E+0	37.179749E+0	37.179749E+0	83.866309E+0
44	0.000000E+0	37.179749E+0	37.179749E+0	83.866309E+0
45	0.000000E+0	37.179749E+0	37.179749E+0	83.866309E+0
46	0.000000E+0	37.183692E+0	37.183692E+0	84.019063E+0
47	0.000000E+0	37.183692E+0	37.183692E+0	84.019063E+0
48	0.000000E+0	37.183692E+0	37.183692E+0	84.019063E+0
49	0.000000E+0	37.186599E+0	37.186599E+0	84.249330E+0
50	0.000000E+0	37.186599E+0	37.186599E+0	84.249330E+0
51	0.000000E+0	37.186599E+0	37.186599E+0	84.249330E+0
52	0.000000E+0	37.186599E+0	37.186599E+0	84.249330E+0
53	0.000000E+0	37.185271E+0	37.185271E+0	84.413247E+0
54	0.000000E+0	37.185271E+0	37.185271E+0	84.413247E+0
55	0.000000E+0	37.185271E+0	37.185271E+0	84.413247E+0
56	0.000000E+0	37.185271E+0	37.185271E+0	84.413247E+0
57	0.000000E+0	37.184971E+0	37.184971E+0	84.845042E+0
58	0.000000E+0	37.184971E+0	37.184971E+0	84.845042E+0
59	0.000000E+0	37.184971E+0	37.184971E+0	84.845042E+0
