mardi 10 mars 2020	10:09:21	Sampling Period : 50  ms		B&B alpha1

t	I1	I2	Alpha1	Alpha2	x	y	dotx	doty
0	0.000000E+0	36.985334E+0	36.985334E+0	85.560000E+0
1	0.000000E+0	36.985334E+0	36.985334E+0	85.560000E+0
2	0.000000E+0	36.985334E+0	36.985334E+0	85.560000E+0
3	0.000000E+0	36.986954E+0	36.986954E+0	86.266802E+0
4	0.000000E+0	36.986954E+0	36.986954E+0	86.266802E+0
5	0.000000E+0	36.986954E+0	36.986954E+0	86.266802E+0
6	0.000000E+0	36.986954E+0	36.986954E+0	86.266802E+0
7	0.000000E+0	36.993248E+0	36.993248E+0	86.638245E+0
8	0.000000E+0	36.993248E+0	36.993248E+0	86.638245E+0
9	0.000000E+0	36.993248E+0	36.993248E+0	86.638245E+0
10	0.000000E+0	36.993248E+0	36.993248E+0	86.638245E+0
11	31.617855E+0	36.993248E+0	36.993248E+0	86.638245E+0
12	31.833820E+0	36.988628E+0	36.988628E+0	86.966201E+0
13	32.045540E+0	36.988628E+0	36.988628E+0	86.966201E+0
14	32.261474E+0	36.988628E+0	36.988628E+0	86.966201E+0
15	32.477342E+0	37.070655E+0	37.070655E+0	86.798192E+0
16	32.768073E+0	37.070655E+0	37.070655E+0	86.798192E+0
17	32.984703E+0	37.070655E+0	37.070655E+0	86.798192E+0
18	33.201152E+0	37.070655E+0	37.070655E+0	86.798192E+0
19	33.417789E+0	38.589654E+0	38.589654E+0	84.093272E+0
20	35.019638E+0	38.589654E+0	38.589654E+0	84.093272E+0
21	35.248372E+0	38.589654E+0	38.589654E+0	84.093272E+0
22	35.477255E+0	38.589654E+0	38.589654E+0	84.093272E+0
23	35.705722E+0	37.457765E+0	37.457765E+0	85.536773E+0
24	34.902215E+0	37.457765E+0	37.457765E+0	85.536773E+0
25	35.122002E+0	37.457765E+0	37.457765E+0	85.536773E+0
26	35.122002E+0	37.457765E+0	37.457765E+0	85.536773E+0
27	35.561211E+0	34.270622E+0	34.270622E+0	86.876491E+0
28	32.874215E+0	34.270622E+0	34.270622E+0	86.876491E+0
29	33.068404E+0	34.270622E+0	34.270622E+0	86.876491E+0
30	33.262673E+0	34.270622E+0	34.270622E+0	86.876491E+0
31	33.456612E+0	30.604841E+0	30.604841E+0	82.930051E+0
32	30.307740E+0	30.604841E+0	30.604841E+0	82.930051E+0
33	30.472668E+0	30.604841E+0	30.604841E+0	82.930051E+0
34	30.637174E+0	30.604841E+0	30.604841E+0	82.930051E+0
35	30.802228E+0	26.996712E+0	26.996712E+0	86.880018E+0
36	27.676400E+0	26.996712E+0	26.996712E+0	86.880018E+0
37	27.812429E+0	26.996712E+0	26.996712E+0	86.880018E+0
38	27.948526E+0	26.996712E+0	26.996712E+0	86.880018E+0
39	28.084183E+0	26.996712E+0	26.996712E+0	86.880018E+0
40	28.220320E+0	23.659425E+0	23.659425E+0	93.353121E+0
41	25.312909E+0	23.659425E+0	23.659425E+0	93.353121E+0
42	25.421855E+0	23.659425E+0	23.659425E+0	93.353121E+0
43	25.531215E+0	23.659425E+0	23.659425E+0	93.353121E+0
44	25.640487E+0	20.357991E+0	20.357991E+0	90.224564E+0
45	22.738852E+0	20.357991E+0	20.357991E+0	90.224564E+0
46	22.821915E+0	20.357991E+0	20.357991E+0	90.224564E+0
47	22.904452E+0	20.357991E+0	20.357991E+0	90.224564E+0
48	22.987509E+0	17.154753E+0	17.154753E+0	89.701323E+0
49	20.149124E+0	17.154753E+0	17.154753E+0	89.701323E+0
50	20.206127E+0	17.154753E+0	17.154753E+0	89.701323E+0
51	20.263395E+0	17.154753E+0	17.154753E+0	89.701323E+0
52	20.320805E+0	14.215591E+0	14.215591E+0	86.848291E+0
53	17.697392E+0	14.215591E+0	14.215591E+0	86.848291E+0
54	17.731291E+0	14.215591E+0	14.215591E+0	86.848291E+0
55	17.764667E+0	14.215591E+0	14.215591E+0	86.848291E+0
56	17.798599E+0	11.480719E+0	11.480719E+0	84.571509E+0
57	15.338331E+0	11.480719E+0	11.480719E+0	84.571509E+0
58	15.349756E+0	11.480719E+0	11.480719E+0	84.571509E+0
59	15.361847E+0	8.583920E+0	8.583920E+0	86.274098E+0
