mardi 10 mars 2020	09:08:37	Sampling Period : 50  ms		B&B alpha1

t	I1	I2	Alpha1	Alpha2	x	y	dotx	doty
0	0.000000E+0	36.815389E+0	36.815389E+0	82.238178E+0
1	0.000000E+0	36.815389E+0	36.815389E+0	82.238178E+0
2	0.000000E+0	36.815389E+0	36.815389E+0	82.238178E+0
3	0.000000E+0	36.822178E+0	36.822178E+0	83.167327E+0
4	0.000000E+0	36.822178E+0	36.822178E+0	83.167327E+0
5	0.000000E+0	36.822178E+0	36.822178E+0	83.167327E+0
6	0.000000E+0	36.822178E+0	36.822178E+0	83.167327E+0
7	0.000000E+0	36.825128E+0	36.825128E+0	84.045556E+0
8	0.000000E+0	36.825128E+0	36.825128E+0	84.045556E+0
9	0.000000E+0	36.825128E+0	36.825128E+0	84.045556E+0
10	0.000000E+0	36.825128E+0	36.825128E+0	84.045556E+0
11	0.000000E+0	36.814043E+0	36.814043E+0	84.248724E+0
12	33.964626E+0	36.814043E+0	36.814043E+0	84.248724E+0
13	34.082234E+0	36.814043E+0	36.814043E+0	84.248724E+0
14	34.210950E+0	36.814043E+0	36.814043E+0	84.248724E+0
15	34.339662E+0	36.813675E+0	36.813675E+0	84.301611E+0
16	34.467988E+0	36.813675E+0	36.813675E+0	84.301611E+0
17	34.596692E+0	36.813675E+0	36.813675E+0	84.301611E+0
18	34.725443E+0	36.813675E+0	36.813675E+0	84.301611E+0
19	34.854098E+0	38.413771E+0	38.413771E+0	81.963908E+0
20	36.591224E+0	38.413771E+0	38.413771E+0	81.963908E+0
21	36.727622E+0	38.413771E+0	38.413771E+0	81.963908E+0
22	36.864006E+0	38.413771E+0	38.413771E+0	81.963908E+0
23	37.000412E+0	38.147790E+0	38.147790E+0	80.438402E+0
24	36.869405E+0	38.147790E+0	38.147790E+0	80.438402E+0
25	37.004513E+0	38.147790E+0	38.147790E+0	80.438402E+0
26	37.139646E+0	38.147790E+0	38.147790E+0	80.438402E+0
27	37.274727E+0	35.494208E+0	35.494208E+0	79.713685E+0
28	34.742463E+0	35.494208E+0	35.494208E+0	79.713685E+0
29	34.864835E+0	35.494208E+0	35.494208E+0	79.713685E+0
30	34.987207E+0	35.494208E+0	35.494208E+0	79.713685E+0
31	35.109616E+0	32.034420E+0	32.034420E+0	80.755527E+0
32	31.754176E+0	32.034420E+0	32.034420E+0	80.755527E+0
33	31.859940E+0	32.034420E+0	32.034420E+0	80.755527E+0
34	31.965728E+0	32.034420E+0	32.034420E+0	80.755527E+0
35	32.071470E+0	28.419726E+0	28.419726E+0	79.280957E+0
36	32.177238E+0	28.419726E+0	28.419726E+0	79.280957E+0
37	28.649511E+0	28.419726E+0	28.419726E+0	79.280957E+0
38	28.737924E+0	28.419726E+0	28.419726E+0	79.280957E+0
39	28.826377E+0	24.936729E+0	24.936729E+0	81.615014E+0
40	25.413637E+0	24.936729E+0	24.936729E+0	81.615014E+0
41	25.485350E+0	24.936729E+0	24.936729E+0	81.615014E+0
42	25.557068E+0	24.936729E+0	24.936729E+0	81.615014E+0
43	25.628728E+0	21.351691E+0	21.351691E+0	81.757235E+0
44	22.096749E+0	21.351691E+0	21.351691E+0	81.757235E+0
45	22.151239E+0	21.351691E+0	21.351691E+0	81.757235E+0
46	22.205735E+0	21.351691E+0	21.351691E+0	81.757235E+0
47	22.260241E+0	18.083068E+0	18.083068E+0	79.634079E+0
48	19.029073E+0	18.083068E+0	18.083068E+0	79.634079E+0
49	19.067888E+0	18.083068E+0	18.083068E+0	79.634079E+0
50	19.106712E+0	18.083068E+0	18.083068E+0	79.634079E+0
51	19.145474E+0	15.287833E+0	15.287833E+0	79.878087E+0
52	16.374516E+0	15.287833E+0	15.287833E+0	79.878087E+0
53	16.399894E+0	15.287833E+0	15.287833E+0	79.878087E+0
54	16.425283E+0	15.287833E+0	15.287833E+0	79.878087E+0
55	16.450677E+0	12.644097E+0	12.644097E+0	82.895267E+0
56	13.818547E+0	12.644097E+0	12.644097E+0	82.895267E+0
57	13.831245E+0	12.644097E+0	12.644097E+0	82.895267E+0
58	13.843962E+0	12.644097E+0	12.644097E+0	82.895267E+0
59	13.856618E+0	12.644097E+0	12.644097E+0	82.895267E+0
